0.667,0.782,0.724,0.657,0.667,22,11,12,43
0.576,0.745,0.661,0.576,0.576,19,14,14,41
0.606,0.722,0.664,0.588,0.606,20,13,15,39
0.636,0.833,0.735,0.667,0.636,21,12,9,45
0.688,0.764,0.726,0.657,0.688,22,10,13,42
0.634,0.769,0.702,0.629,0.634,20.8,12.0,12.6,42.0
0.667,0.836,0.752,0.688,0.667,22,11,9,46
0.727,0.8,0.764,0.706,0.727,24,9,11,44
0.636,0.778,0.707,0.636,0.636,21,12,12,42
0.727,0.87,0.799,0.75,0.727,24,9,7,47
0.719,0.836,0.778,0.719,0.719,23,9,9,46
0.695,0.824,0.76,0.7,0.695,22.8,10.0,9.6,45.0
0.485,0.873,0.679,0.571,0.485,16,17,7,48
0.788,0.818,0.803,0.754,0.788,26,7,10,45
0.594,0.673,0.633,0.551,0.594,19,13,18,37
0.758,0.815,0.786,0.735,0.758,25,8,10,44
0.636,0.648,0.642,0.575,0.636,21,12,19,35
0.652,0.765,0.709,0.637,0.652,21.4,11.4,12.8,41.8
0.394,0.836,0.615,0.473,0.394,13,20,9,46
0.697,0.691,0.694,0.63,0.697,23,10,17,38
0.545,0.852,0.699,0.61,0.545,18,15,8,46
0.758,0.704,0.731,0.676,0.758,25,8,16,38
0.75,0.818,0.784,0.727,0.75,24,8,10,45
0.629,0.78,0.704,0.623,0.629,20.6,12.2,12.0,42.6
0.576,0.709,0.642,0.559,0.576,19,14,16,39
0.727,0.764,0.745,0.686,0.727,24,9,13,42
0.562,0.709,0.636,0.545,0.562,18,14,16,39
0.727,0.833,0.78,0.727,0.727,24,9,9,45
0.667,0.778,0.722,0.657,0.667,22,11,12,42
0.652,0.759,0.705,0.635,0.652,21.4,11.4,13.2,41.4
0.636,0.8,0.718,0.646,0.636,21,12,11,44
0.697,0.782,0.739,0.676,0.697,23,10,12,43
0.531,0.709,0.62,0.523,0.531,17,15,16,39
0.636,0.889,0.763,0.7,0.636,21,12,6,48
0.606,0.852,0.729,0.656,0.606,20,13,8,46
0.621,0.806,0.714,0.64,0.621,20.4,12.4,10.6,44.0
0.667,0.8,0.733,0.667,0.667,22,11,11,44
0.727,0.764,0.745,0.686,0.727,24,9,13,42
0.625,0.727,0.676,0.597,0.625,20,12,15,40
0.606,0.759,0.683,0.606,0.606,20,13,13,41
0.606,0.833,0.72,0.645,0.606,20,13,9,45
0.646,0.777,0.711,0.64,0.646,21.2,11.6,12.2,42.4
0.424,0.764,0.594,0.467,0.424,14,19,13,42
0.667,0.691,0.679,0.611,0.667,22,11,17,38
0.344,0.764,0.554,0.393,0.344,11,21,13,42
0.667,0.722,0.694,0.629,0.667,22,11,15,39
0.455,0.741,0.598,0.484,0.455,15,18,14,40
0.511,0.736,0.624,0.517,0.511,16.8,16.0,14.4,40.2
0.636,0.8,0.718,0.646,0.636,21,12,11,44
0.606,0.764,0.685,0.606,0.606,20,13,13,42
0.688,0.745,0.716,0.647,0.688,22,10,14,41
0.636,0.796,0.716,0.646,0.636,21,12,11,43
0.576,0.778,0.677,0.594,0.576,19,14,12,42
0.628,0.777,0.703,0.628,0.628,20.6,12.2,12.2,42.4
0.697,0.709,0.703,0.639,0.697,23,10,16,39
0.636,0.745,0.691,0.618,0.636,21,12,14,41
0.667,0.722,0.694,0.629,0.667,22,11,15,39
0.485,0.833,0.659,0.552,0.485,16,17,9,45
0.625,0.836,0.731,0.656,0.625,20,12,9,46
0.622,0.769,0.696,0.619,0.622,20.4,12.4,12.6,42.0
0.697,0.8,0.748,0.687,0.697,23,10,11,44
0.485,0.873,0.679,0.571,0.485,16,17,7,48
0.625,0.8,0.712,0.635,0.625,20,12,11,44
0.727,0.833,0.78,0.727,0.727,24,9,9,45
0.636,0.87,0.753,0.689,0.636,21,12,7,47
0.634,0.835,0.735,0.662,0.634,20.8,12.0,9.0,45.6
0.758,0.836,0.797,0.746,0.758,25,8,9,46
0.758,0.764,0.761,0.704,0.758,25,8,13,42
0.781,0.8,0.791,0.735,0.781,25,7,11,44
0.606,0.907,0.757,0.69,0.606,20,13,5,49
0.697,0.796,0.747,0.687,0.697,23,10,11,43
0.72,0.821,0.77,0.712,0.72,23.6,9.2,9.8,44.8
0.545,0.836,0.691,0.6,0.545,18,15,9,46
0.697,0.818,0.758,0.697,0.697,23,10,10,45
0.562,0.909,0.736,0.655,0.562,18,14,5,50
0.758,0.778,0.768,0.714,0.758,25,8,12,42
0.818,0.889,0.854,0.818,0.818,27,6,6,48
0.676,0.846,0.761,0.697,0.676,22.2,10.6,8.4,46.2
0.697,0.836,0.767,0.708,0.697,23,10,9,46
0.636,0.8,0.718,0.646,0.636,21,12,11,44
0.812,0.836,0.824,0.776,0.812,26,6,9,46
0.636,0.796,0.716,0.646,0.636,21,12,11,43
0.818,0.704,0.761,0.711,0.818,27,6,16,38
0.72,0.795,0.757,0.697,0.72,23.6,9.2,11.2,43.4
0.667,0.8,0.733,0.667,0.667,22,11,11,44
0.636,0.764,0.7,0.627,0.636,21,12,13,42
0.781,0.836,0.809,0.758,0.781,25,7,9,46
0.636,0.852,0.744,0.677,0.636,21,12,8,46
0.788,0.796,0.792,0.743,0.788,26,7,11,43
0.702,0.81,0.756,0.694,0.702,23.0,9.8,10.4,44.2
0.636,0.855,0.745,0.677,0.636,21,12,8,47
0.788,0.818,0.803,0.754,0.788,26,7,10,45
