prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
gd_bal_acc_train1617_1718_test1819 series_00,0.634,0.791,0.713,0.64,0.634,104,60,57,216
gd_bal_acc_train1617_1718_test1819 series_01,0.701,0.788,0.744,0.682,0.701,115,49,58,215
gd_bal_acc_train1617_1718_test1819 series_02,0.683,0.747,0.715,0.649,0.683,112,52,69,204
gd_bal_acc_train1617_1718_test1819 series_03,0.591,0.828,0.71,0.63,0.591,97,67,47,226
gd_bal_acc_train1617_1718_test1819 series_04,0.64,0.81,0.725,0.654,0.64,105,59,52,221
gd_bal_acc_train1617_1718_test1819 series_05,0.64,0.777,0.708,0.636,0.64,105,59,61,212
gd_bal_acc_train1617_1718_test1819 series_06,0.622,0.795,0.708,0.634,0.622,102,62,56,217
gd_bal_acc_train1617_1718_test1819 series_07,0.665,0.791,0.728,0.661,0.665,109,55,57,216
gd_bal_acc_train1617_1718_test1819 series_08,0.634,0.788,0.711,0.638,0.634,104,60,58,215
gd_bal_acc_train1617_1718_test1819 series_09,0.646,0.799,0.722,0.652,0.646,106,58,55,218
gd_bal_acc_train1617_1718_test1819 series_10,0.689,0.864,0.777,0.72,0.689,113,51,37,236
gd_bal_acc_train1617_1718_test1819 series_11,0.665,0.828,0.746,0.681,0.665,109,55,47,226
gd_bal_acc_train1617_1718_test1819 series_12,0.701,0.813,0.757,0.697,0.701,115,49,51,222
gd_bal_acc_train1617_1718_test1819 series_13,0.707,0.81,0.758,0.699,0.707,116,48,52,221
gd_bal_acc_train1617_1718_test1819 series_14,0.665,0.813,0.739,0.673,0.665,109,55,51,222
gd_bal_acc_train1617_1718_test1819 series_15,0.744,0.817,0.78,0.726,0.744,122,42,50,223
gd_bal_acc_train1617_1718_test1819 series_16,0.707,0.861,0.784,0.73,0.707,116,48,38,235
gd_bal_acc_train1617_1718_test1819 series_17,0.701,0.839,0.77,0.712,0.701,115,49,44,229
gd_bal_acc_train1617_1718_test1819 series_18,0.726,0.821,0.773,0.717,0.726,119,45,49,224
gd_bal_acc_train1617_1718_test1819 series_19,0.726,0.835,0.78,0.726,0.726,119,45,45,228
gd_bal_acc_train1617_1718_test1819 series_20,0.695,0.824,0.76,0.699,0.695,114,50,48,225
gd_bal_acc_train1617_1718_test1819 series_21,0.72,0.846,0.783,0.728,0.72,118,46,42,231
gd_bal_acc_train1617_1819_test1718 series_00,0.636,0.774,0.705,0.641,0.636,98,56,54,185
gd_bal_acc_train1617_1819_test1718 series_01,0.688,0.753,0.721,0.665,0.688,106,48,59,180
gd_bal_acc_train1617_1819_test1718 series_02,0.734,0.72,0.727,0.677,0.734,113,41,67,172
gd_bal_acc_train1617_1819_test1718 series_03,0.61,0.762,0.686,0.616,0.61,94,60,57,182
gd_bal_acc_train1617_1819_test1718 series_04,0.695,0.795,0.745,0.69,0.695,107,47,49,190
gd_bal_acc_train1617_1819_test1718 series_05,0.708,0.812,0.76,0.708,0.708,109,45,45,194
gd_bal_acc_train1617_1819_test1718 series_06,0.708,0.808,0.758,0.706,0.708,109,45,46,193
gd_bal_acc_train1617_1819_test1718 series_07,0.701,0.833,0.767,0.715,0.701,108,46,40,199
gd_bal_acc_train1617_1819_test1718 series_08,0.714,0.749,0.732,0.679,0.714,110,44,60,179
gd_bal_acc_train1617_1819_test1718 series_09,0.695,0.774,0.734,0.679,0.695,107,47,54,185
gd_bal_acc_train1617_1819_test1718 series_10,0.675,0.778,0.727,0.669,0.675,104,50,53,186
gd_bal_acc_train1617_1819_test1718 series_11,0.701,0.803,0.752,0.699,0.701,108,46,47,192
gd_bal_acc_train1617_1819_test1718 series_12,0.721,0.774,0.747,0.696,0.721,111,43,54,185
gd_bal_acc_train1617_1819_test1718 series_13,0.708,0.749,0.728,0.675,0.708,109,45,60,179
gd_bal_acc_train1617_1819_test1718 series_14,0.734,0.795,0.764,0.715,0.734,113,41,49,190
gd_bal_acc_train1617_1819_test1718 series_15,0.779,0.787,0.783,0.738,0.779,120,34,51,188
gd_bal_acc_train1617_1819_test1718 series_16,0.688,0.782,0.735,0.679,0.688,106,48,52,187
gd_bal_acc_train1617_1819_test1718 series_17,0.701,0.787,0.744,0.69,0.701,108,46,51,188
gd_bal_acc_train1617_1819_test1718 series_18,0.708,0.799,0.753,0.701,0.708,109,45,48,191
gd_bal_acc_train1617_1819_test1718 series_19,0.76,0.803,0.782,0.736,0.76,117,37,47,192
gd_bal_acc_train1617_1819_test1718 series_20,0.714,0.812,0.763,0.712,0.714,110,44,45,194
gd_bal_acc_train1617_1819_test1718 series_21,0.766,0.824,0.795,0.752,0.766,118,36,42,197
gd_bal_acc_train1718_1819_test1617 series_00,0.559,0.806,0.682,0.616,0.559,90,71,41,170
gd_bal_acc_train1718_1819_test1617 series_01,0.559,0.777,0.668,0.604,0.559,90,71,47,164
gd_bal_acc_train1718_1819_test1617 series_02,0.547,0.754,0.65,0.585,0.547,88,73,52,159
gd_bal_acc_train1718_1819_test1617 series_03,0.54,0.782,0.661,0.592,0.54,87,74,46,165
gd_bal_acc_train1718_1819_test1617 series_04,0.596,0.806,0.701,0.644,0.596,96,65,41,170
gd_bal_acc_train1718_1819_test1617 series_05,0.658,0.796,0.727,0.684,0.658,106,55,43,168
gd_bal_acc_train1718_1819_test1617 series_06,0.596,0.81,0.703,0.646,0.596,96,65,40,171
gd_bal_acc_train1718_1819_test1617 series_07,0.634,0.806,0.72,0.671,0.634,102,59,41,170
gd_bal_acc_train1718_1819_test1617 series_08,0.665,0.82,0.742,0.699,0.665,107,54,38,173
gd_bal_acc_train1718_1819_test1617 series_09,0.571,0.844,0.708,0.643,0.571,92,69,33,178
gd_bal_acc_train1718_1819_test1617 series_10,0.714,0.791,0.753,0.719,0.714,115,46,44,167
gd_bal_acc_train1718_1819_test1617 series_11,0.665,0.787,0.726,0.684,0.665,107,54,45,166
gd_bal_acc_train1718_1819_test1617 series_12,0.671,0.82,0.745,0.704,0.671,108,53,38,173
gd_bal_acc_train1718_1819_test1617 series_13,0.683,0.791,0.737,0.698,0.683,110,51,44,167
gd_bal_acc_train1718_1819_test1617 series_14,0.665,0.787,0.726,0.684,0.665,107,54,45,166
gd_bal_acc_train1718_1819_test1617 series_15,0.441,0.886,0.664,0.555,0.441,71,90,24,187
gd_bal_acc_train1718_1819_test1617 series_16,0.689,0.806,0.748,0.709,0.689,111,50,41,170
gd_bal_acc_train1718_1819_test1617 series_17,0.671,0.815,0.743,0.701,0.671,108,53,39,172
gd_bal_acc_train1718_1819_test1617 series_18,0.627,0.796,0.712,0.662,0.627,101,60,43,168
gd_bal_acc_train1718_1819_test1617 series_19,0.64,0.796,0.718,0.671,0.64,103,58,43,168
gd_bal_acc_train1718_1819_test1617 series_20,0.671,0.825,0.748,0.706,0.671,108,53,37,174
gd_bal_acc_train1718_1819_test1617 series_21,0.708,0.834,0.771,0.735,0.708,114,47,35,176
gd_bal_acc_train1617_test1718 series_00,0.695,0.699,0.697,0.643,0.695,107,47,72,167
gd_bal_acc_train1617_test1718 series_01,0.675,0.665,0.67,0.615,0.675,104,50,80,159
gd_bal_acc_train1617_test1718 series_02,0.695,0.715,0.705,0.65,0.695,107,47,68,171
gd_bal_acc_train1617_test1718 series_03,0.643,0.699,0.671,0.609,0.643,99,55,72,167
gd_bal_acc_train1617_test1718 series_04,0.63,0.69,0.66,0.597,0.63,97,57,74,165
gd_bal_acc_train1617_test1718 series_05,0.649,0.736,0.693,0.631,0.649,100,54,63,176
gd_bal_acc_train1617_test1718 series_06,0.662,0.728,0.695,0.636,0.662,102,52,65,174
gd_bal_acc_train1617_test1718 series_07,0.662,0.774,0.718,0.658,0.662,102,52,54,185
gd_bal_acc_train1617_test1718 series_08,0.695,0.757,0.726,0.671,0.695,107,47,58,181
gd_bal_acc_train1617_test1718 series_09,0.721,0.757,0.739,0.687,0.721,111,43,58,181
gd_bal_acc_train1617_test1718 series_10,0.682,0.736,0.709,0.652,0.682,105,49,63,176
gd_bal_acc_train1617_test1718 series_11,0.682,0.766,0.724,0.667,0.682,105,49,56,183
gd_bal_acc_train1617_test1718 series_12,0.688,0.778,0.733,0.677,0.688,106,48,53,186
gd_bal_acc_train1617_test1718 series_13,0.708,0.741,0.724,0.671,0.708,109,45,62,177
gd_bal_acc_train1617_test1718 series_14,0.74,0.778,0.759,0.71,0.74,114,40,53,186
gd_bal_acc_train1617_test1718 series_15,0.753,0.753,0.753,0.705,0.753,116,38,59,180
gd_bal_acc_train1617_test1718 series_16,0.695,0.749,0.722,0.667,0.695,107,47,60,179
gd_bal_acc_train1617_test1718 series_17,0.623,0.732,0.678,0.611,0.623,96,58,64,175
gd_bal_acc_train1617_test1718 series_18,0.636,0.728,0.682,0.618,0.636,98,56,65,174
gd_bal_acc_train1617_test1718 series_19,0.643,0.782,0.713,0.649,0.643,99,55,52,187
gd_bal_acc_train1617_test1718 series_20,0.701,0.757,0.729,0.675,0.701,108,46,58,181
gd_bal_acc_train1617_test1718 series_21,0.766,0.791,0.779,0.733,0.766,118,36,50,189
gd_bal_acc_train1617_test1819 series_00,0.732,0.722,0.727,0.667,0.732,120,44,76,197
gd_bal_acc_train1617_test1819 series_01,0.689,0.722,0.705,0.64,0.689,113,51,76,197
gd_bal_acc_train1617_test1819 series_02,0.659,0.729,0.694,0.624,0.659,108,56,74,199
gd_bal_acc_train1617_test1819 series_03,0.561,0.747,0.654,0.566,0.561,92,72,69,204
gd_bal_acc_train1617_test1819 series_04,0.561,0.729,0.645,0.558,0.561,92,72,74,199
gd_bal_acc_train1617_test1819 series_05,0.549,0.689,0.619,0.531,0.549,90,74,85,188
gd_bal_acc_train1617_test1819 series_06,0.689,0.707,0.698,0.633,0.689,113,51,80,193
gd_bal_acc_train1617_test1819 series_07,0.713,0.736,0.725,0.663,0.713,117,47,72,201
gd_bal_acc_train1617_test1819 series_08,0.628,0.74,0.684,0.609,0.628,103,61,71,202
gd_bal_acc_train1617_test1819 series_09,0.652,0.711,0.682,0.611,0.652,107,57,79,194
gd_bal_acc_train1617_test1819 series_10,0.726,0.78,0.753,0.694,0.726,119,45,60,213
gd_bal_acc_train1617_test1819 series_11,0.707,0.784,0.746,0.684,0.707,116,48,59,214
gd_bal_acc_train1617_test1819 series_12,0.72,0.784,0.752,0.692,0.72,118,46,59,214
gd_bal_acc_train1617_test1819 series_13,0.707,0.788,0.747,0.686,0.707,116,48,58,215
gd_bal_acc_train1617_test1819 series_14,0.707,0.795,0.751,0.69,0.707,116,48,56,217
gd_bal_acc_train1617_test1819 series_15,0.683,0.755,0.719,0.653,0.683,112,52,67,206
gd_bal_acc_train1617_test1819 series_16,0.701,0.806,0.754,0.693,0.701,115,49,53,220
gd_bal_acc_train1617_test1819 series_17,0.646,0.81,0.728,0.658,0.646,106,58,52,221
gd_bal_acc_train1617_test1819 series_18,0.701,0.802,0.752,0.691,0.701,115,49,54,219
gd_bal_acc_train1617_test1819 series_19,0.671,0.799,0.735,0.669,0.671,110,54,55,218
gd_bal_acc_train1617_test1819 series_20,0.713,0.758,0.736,0.674,0.713,117,47,66,207
gd_bal_acc_train1617_test1819 series_21,0.713,0.799,0.756,0.696,0.713,117,47,55,218
gd_bal_acc_train1718_test1617 series_00,0.528,0.782,0.655,0.582,0.528,85,76,46,165
gd_bal_acc_train1718_test1617 series_01,0.565,0.787,0.676,0.613,0.565,91,70,45,166
gd_bal_acc_train1718_test1617 series_02,0.565,0.763,0.664,0.603,0.565,91,70,50,161
gd_bal_acc_train1718_test1617 series_03,0.615,0.716,0.665,0.619,0.615,99,62,60,151
gd_bal_acc_train1718_test1617 series_04,0.634,0.782,0.708,0.66,0.634,102,59,46,165
gd_bal_acc_train1718_test1617 series_05,0.615,0.758,0.687,0.637,0.615,99,62,51,160
gd_bal_acc_train1718_test1617 series_06,0.621,0.777,0.699,0.649,0.621,100,61,47,164
gd_bal_acc_train1718_test1617 series_07,0.658,0.825,0.742,0.697,0.658,106,55,37,174
gd_bal_acc_train1718_test1617 series_08,0.64,0.82,0.73,0.682,0.64,103,58,38,173
gd_bal_acc_train1718_test1617 series_09,0.584,0.801,0.692,0.633,0.584,94,67,42,169
gd_bal_acc_train1718_test1617 series_10,0.596,0.834,0.715,0.658,0.596,96,65,35,176
gd_bal_acc_train1718_test1617 series_11,0.602,0.825,0.714,0.658,0.602,97,64,37,174
gd_bal_acc_train1718_test1617 series_12,0.609,0.853,0.731,0.676,0.609,98,63,31,180
gd_bal_acc_train1718_test1617 series_13,0.584,0.825,0.704,0.644,0.584,94,67,37,174
gd_bal_acc_train1718_test1617 series_14,0.634,0.796,0.715,0.667,0.634,102,59,43,168
gd_bal_acc_train1718_test1617 series_15,0.447,0.844,0.645,0.541,0.447,72,89,33,178
gd_bal_acc_train1718_test1617 series_16,0.64,0.796,0.718,0.671,0.64,103,58,43,168
gd_bal_acc_train1718_test1617 series_17,0.578,0.853,0.715,0.653,0.578,93,68,31,180
gd_bal_acc_train1718_test1617 series_18,0.522,0.844,0.683,0.604,0.522,84,77,33,178
gd_bal_acc_train1718_test1617 series_19,0.578,0.839,0.708,0.646,0.578,93,68,34,177
gd_bal_acc_train1718_test1617 series_20,0.559,0.844,0.701,0.634,0.559,90,71,33,178
gd_bal_acc_train1718_test1617 series_21,0.652,0.801,0.727,0.682,0.652,105,56,42,169
gd_bal_acc_train1718_test1819 series_00,0.567,0.766,0.666,0.579,0.567,93,71,64,209
gd_bal_acc_train1718_test1819 series_01,0.677,0.802,0.74,0.675,0.677,111,53,54,219
gd_bal_acc_train1718_test1819 series_02,0.683,0.784,0.733,0.669,0.683,112,52,59,214
gd_bal_acc_train1718_test1819 series_03,0.61,0.707,0.658,0.581,0.61,100,64,80,193
gd_bal_acc_train1718_test1819 series_04,0.659,0.799,0.729,0.661,0.659,108,56,55,218
gd_bal_acc_train1718_test1819 series_05,0.646,0.791,0.719,0.648,0.646,106,58,57,216
gd_bal_acc_train1718_test1819 series_06,0.598,0.78,0.689,0.609,0.598,98,66,60,213
gd_bal_acc_train1718_test1819 series_07,0.628,0.762,0.695,0.62,0.628,103,61,65,208
gd_bal_acc_train1718_test1819 series_08,0.579,0.788,0.683,0.599,0.579,95,69,58,215
gd_bal_acc_train1718_test1819 series_09,0.591,0.835,0.713,0.634,0.591,97,67,45,228
gd_bal_acc_train1718_test1819 series_10,0.561,0.886,0.724,0.641,0.561,92,72,31,242
gd_bal_acc_train1718_test1819 series_11,0.628,0.842,0.735,0.665,0.628,103,61,43,230
gd_bal_acc_train1718_test1819 series_12,0.695,0.832,0.763,0.704,0.695,114,50,46,227
gd_bal_acc_train1718_test1819 series_13,0.659,0.788,0.723,0.655,0.659,108,56,58,215
gd_bal_acc_train1718_test1819 series_14,0.701,0.791,0.746,0.685,0.701,115,49,57,216
gd_bal_acc_train1718_test1819 series_15,0.524,0.842,0.683,0.587,0.524,86,78,43,230
gd_bal_acc_train1718_test1819 series_16,0.634,0.857,0.746,0.678,0.634,104,60,39,234
gd_bal_acc_train1718_test1819 series_17,0.683,0.821,0.752,0.689,0.683,112,52,49,224
gd_bal_acc_train1718_test1819 series_18,0.677,0.857,0.767,0.707,0.677,111,53,39,234
gd_bal_acc_train1718_test1819 series_19,0.64,0.894,0.767,0.705,0.64,105,59,29,244
gd_bal_acc_train1718_test1819 series_20,0.665,0.857,0.761,0.699,0.665,109,55,39,234
gd_bal_acc_train1718_test1819 series_21,0.695,0.817,0.756,0.695,0.695,114,50,50,223
gd_bal_acc_train1819_test1617 series_00,0.559,0.754,0.656,0.594,0.559,90,71,52,159
gd_bal_acc_train1819_test1617 series_01,0.565,0.739,0.652,0.593,0.565,91,70,55,156
gd_bal_acc_train1819_test1617 series_02,0.578,0.787,0.682,0.622,0.578,93,68,45,166
gd_bal_acc_train1819_test1617 series_03,0.522,0.782,0.652,0.577,0.522,84,77,46,165
gd_bal_acc_train1819_test1617 series_04,0.578,0.754,0.666,0.608,0.578,93,68,52,159
gd_bal_acc_train1819_test1617 series_05,0.578,0.749,0.663,0.606,0.578,93,68,53,158
gd_bal_acc_train1819_test1617 series_06,0.596,0.791,0.694,0.638,0.596,96,65,44,167
gd_bal_acc_train1819_test1617 series_07,0.621,0.787,0.704,0.654,0.621,100,61,45,166
gd_bal_acc_train1819_test1617 series_08,0.634,0.829,0.731,0.682,0.634,102,59,36,175
gd_bal_acc_train1819_test1617 series_09,0.646,0.763,0.704,0.66,0.646,104,57,50,161
gd_bal_acc_train1819_test1617 series_10,0.696,0.82,0.758,0.72,0.696,112,49,38,173
gd_bal_acc_train1819_test1617 series_11,0.714,0.787,0.751,0.717,0.714,115,46,45,166
gd_bal_acc_train1819_test1617 series_12,0.658,0.754,0.706,0.665,0.658,106,55,52,159
gd_bal_acc_train1819_test1617 series_13,0.627,0.749,0.688,0.641,0.627,101,60,53,158
gd_bal_acc_train1819_test1617 series_14,0.689,0.768,0.729,0.692,0.689,111,50,49,162
gd_bal_acc_train1819_test1617 series_15,0.273,0.896,0.585,0.388,0.273,44,117,22,189
gd_bal_acc_train1819_test1617 series_16,0.665,0.773,0.719,0.677,0.665,107,54,48,163
gd_bal_acc_train1819_test1617 series_17,0.64,0.82,0.73,0.682,0.64,103,58,38,173
gd_bal_acc_train1819_test1617 series_18,0.584,0.825,0.704,0.644,0.584,94,67,37,174
gd_bal_acc_train1819_test1617 series_19,0.665,0.796,0.73,0.688,0.665,107,54,43,168
gd_bal_acc_train1819_test1617 series_20,0.658,0.791,0.725,0.682,0.658,106,55,44,167
gd_bal_acc_train1819_test1617 series_21,0.683,0.787,0.735,0.696,0.683,110,51,45,166
gd_bal_acc_train1819_test1718 series_00,0.604,0.745,0.674,0.604,0.604,93,61,61,178
gd_bal_acc_train1819_test1718 series_01,0.636,0.799,0.718,0.653,0.636,98,56,48,191
gd_bal_acc_train1819_test1718 series_02,0.532,0.774,0.653,0.566,0.532,82,72,54,185
gd_bal_acc_train1819_test1718 series_03,0.597,0.795,0.696,0.624,0.597,92,62,49,190
gd_bal_acc_train1819_test1718 series_04,0.708,0.799,0.753,0.701,0.708,109,45,48,191
gd_bal_acc_train1819_test1718 series_05,0.649,0.808,0.728,0.667,0.649,100,54,46,193
gd_bal_acc_train1819_test1718 series_06,0.643,0.799,0.721,0.658,0.643,99,55,48,191
gd_bal_acc_train1819_test1718 series_07,0.656,0.803,0.73,0.669,0.656,101,53,47,192
gd_bal_acc_train1819_test1718 series_08,0.675,0.854,0.764,0.71,0.675,104,50,35,204
gd_bal_acc_train1819_test1718 series_09,0.675,0.841,0.758,0.703,0.675,104,50,38,201
gd_bal_acc_train1819_test1718 series_10,0.714,0.778,0.746,0.694,0.714,110,44,53,186
gd_bal_acc_train1819_test1718 series_11,0.714,0.77,0.742,0.69,0.714,110,44,55,184
gd_bal_acc_train1819_test1718 series_12,0.675,0.833,0.754,0.698,0.675,104,50,40,199
gd_bal_acc_train1819_test1718 series_13,0.662,0.803,0.733,0.673,0.662,102,52,47,192
gd_bal_acc_train1819_test1718 series_14,0.682,0.766,0.724,0.667,0.682,105,49,56,183
gd_bal_acc_train1819_test1718 series_15,0.734,0.824,0.779,0.731,0.734,113,41,42,197
gd_bal_acc_train1819_test1718 series_16,0.682,0.808,0.745,0.689,0.682,105,49,46,193
gd_bal_acc_train1819_test1718 series_17,0.688,0.799,0.744,0.688,0.688,106,48,48,191
gd_bal_acc_train1819_test1718 series_18,0.747,0.82,0.783,0.737,0.747,115,39,43,196
gd_bal_acc_train1819_test1718 series_19,0.649,0.879,0.764,0.707,0.649,100,54,29,210
gd_bal_acc_train1819_test1718 series_20,0.734,0.833,0.783,0.736,0.734,113,41,40,199
gd_bal_acc_train1819_test1718 series_21,0.734,0.816,0.775,0.727,0.734,113,41,44,195
gd_bal_acc_all1617 series_01 part1,0.455,0.833,0.644,0.545,0.455,15,18,7,35
gd_bal_acc_all1617 series_01 part2,0.594,0.744,0.669,0.613,0.594,19,13,11,32
gd_bal_acc_all1617 series_01 part3,0.531,0.595,0.563,0.515,0.531,17,15,17,25
gd_bal_acc_all1617 series_01 part4,0.594,0.81,0.702,0.644,0.594,19,13,8,34
gd_bal_acc_all1617 series_01 part5,0.625,0.667,0.646,0.606,0.625,20,12,14,28
gd_bal_acc_all1617 series_01 MEAN,0.56,0.73,0.645,0.585,0.56,18.0,14.2,11.4,30.8
gd_bal_acc_all1617 series_02 part1,0.625,0.698,0.661,0.615,0.625,20,12,13,30
gd_bal_acc_all1617 series_02 part2,0.697,0.667,0.682,0.657,0.697,23,10,14,28
gd_bal_acc_all1617 series_02 part3,0.469,0.81,0.639,0.545,0.469,15,17,8,34
gd_bal_acc_all1617 series_02 part4,0.656,0.714,0.685,0.646,0.656,21,11,12,30
gd_bal_acc_all1617 series_02 part5,0.75,0.643,0.696,0.676,0.75,24,8,15,27
gd_bal_acc_all1617 series_02 MEAN,0.639,0.706,0.673,0.628,0.639,20.6,11.6,12.4,29.8
gd_bal_acc_all1617 series_03 part1,0.636,0.667,0.652,0.618,0.636,21,12,14,28
gd_bal_acc_all1617 series_03 part2,0.531,0.698,0.614,0.548,0.531,17,15,13,30
gd_bal_acc_all1617 series_03 part3,0.688,0.786,0.737,0.698,0.688,22,10,9,33
gd_bal_acc_all1617 series_03 part4,0.531,0.81,0.67,0.596,0.531,17,15,8,34
gd_bal_acc_all1617 series_03 part5,0.562,0.786,0.674,0.61,0.562,18,14,9,33
gd_bal_acc_all1617 series_03 MEAN,0.59,0.749,0.669,0.614,0.59,19.0,13.2,10.6,31.6
gd_bal_acc_all1617 series_04 part1,0.625,0.721,0.673,0.625,0.625,20,12,12,31
gd_bal_acc_all1617 series_04 part2,0.636,0.714,0.675,0.636,0.636,21,12,12,30
gd_bal_acc_all1617 series_04 part3,0.562,0.714,0.638,0.581,0.562,18,14,12,30
gd_bal_acc_all1617 series_04 part4,0.469,0.619,0.544,0.476,0.469,15,17,16,26
gd_bal_acc_all1617 series_04 part5,0.75,0.738,0.744,0.716,0.75,24,8,11,31
gd_bal_acc_all1617 series_04 MEAN,0.609,0.701,0.655,0.607,0.609,19.6,12.6,12.6,29.6
gd_bal_acc_all1617 series_05 part1,0.75,0.744,0.747,0.716,0.75,24,8,11,32
gd_bal_acc_all1617 series_05 part2,0.636,0.762,0.699,0.656,0.636,21,12,10,32
gd_bal_acc_all1617 series_05 part3,0.594,0.714,0.654,0.603,0.594,19,13,12,30
gd_bal_acc_all1617 series_05 part4,0.75,0.833,0.792,0.762,0.75,24,8,7,35
gd_bal_acc_all1617 series_05 part5,0.688,0.786,0.737,0.698,0.688,22,10,9,33
gd_bal_acc_all1617 series_05 MEAN,0.684,0.768,0.726,0.687,0.684,22.0,10.2,9.8,32.4
gd_bal_acc_all1617 series_06 part1,0.562,0.744,0.653,0.59,0.562,18,14,11,32
gd_bal_acc_all1617 series_06 part2,0.515,0.762,0.639,0.567,0.515,17,16,10,32
gd_bal_acc_all1617 series_06 part3,0.594,0.714,0.654,0.603,0.594,19,13,12,30
gd_bal_acc_all1617 series_06 part4,0.656,0.667,0.661,0.627,0.656,21,11,14,28
gd_bal_acc_all1617 series_06 part5,0.625,0.548,0.586,0.563,0.625,20,12,19,23
gd_bal_acc_all1617 series_06 MEAN,0.591,0.687,0.639,0.59,0.591,19.0,13.2,13.2,29.0
gd_bal_acc_all1617 series_07 part1,0.667,0.81,0.738,0.698,0.667,22,11,8,34
gd_bal_acc_all1617 series_07 part2,0.531,0.605,0.568,0.515,0.531,17,15,17,26
gd_bal_acc_all1617 series_07 part3,0.719,0.714,0.717,0.687,0.719,23,9,12,30
gd_bal_acc_all1617 series_07 part4,0.75,0.595,0.673,0.658,0.75,24,8,17,25
gd_bal_acc_all1617 series_07 part5,0.562,0.714,0.638,0.581,0.562,18,14,12,30
gd_bal_acc_all1617 series_07 MEAN,0.646,0.688,0.667,0.628,0.646,20.8,11.4,13.2,29.0
gd_bal_acc_all1617 series_08 part1,0.719,0.651,0.685,0.657,0.719,23,9,15,28
gd_bal_acc_all1617 series_08 part2,0.758,0.69,0.724,0.704,0.758,25,8,13,29
gd_bal_acc_all1617 series_08 part3,0.719,0.643,0.681,0.657,0.719,23,9,15,27
gd_bal_acc_all1617 series_08 part4,0.594,0.786,0.69,0.633,0.594,19,13,9,33
gd_bal_acc_all1617 series_08 part5,0.531,0.762,0.647,0.576,0.531,17,15,10,32
gd_bal_acc_all1617 series_08 MEAN,0.664,0.706,0.685,0.646,0.664,21.4,10.8,12.4,29.8
gd_bal_acc_all1617 series_09 part1,0.788,0.643,0.715,0.703,0.788,26,7,15,27
gd_bal_acc_all1617 series_09 part2,0.625,0.86,0.743,0.69,0.625,20,12,6,37
gd_bal_acc_all1617 series_09 part3,0.5,0.786,0.643,0.561,0.5,16,16,9,33
gd_bal_acc_all1617 series_09 part4,0.812,0.595,0.704,0.693,0.812,26,6,17,25
