prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
lg_bal_acc_train1617_1718_test1819 series_00,0.744,0.755,0.749,0.691,0.744,122,42,67,206
lg_bal_acc_train1617_1718_test1819 series_01,0.768,0.725,0.747,0.69,0.768,126,38,75,198
lg_bal_acc_train1617_1718_test1819 series_02,0.732,0.7,0.716,0.656,0.732,120,44,82,191
lg_bal_acc_train1617_1718_test1819 series_03,0.738,0.692,0.715,0.656,0.738,121,43,84,189
lg_bal_acc_train1617_1718_test1819 series_04,0.768,0.722,0.745,0.689,0.768,126,38,76,197
lg_bal_acc_train1617_1718_test1819 series_05,0.671,0.773,0.722,0.655,0.671,110,54,62,211
lg_bal_acc_train1617_1718_test1819 series_06,0.659,0.799,0.729,0.661,0.659,108,56,55,218
lg_bal_acc_train1617_1718_test1819 series_07,0.689,0.795,0.742,0.679,0.689,113,51,56,217
lg_bal_acc_train1617_1718_test1819 series_08,0.732,0.78,0.756,0.698,0.732,120,44,60,213
lg_bal_acc_train1617_1718_test1819 series_09,0.738,0.755,0.746,0.688,0.738,121,43,67,206
lg_bal_acc_train1617_1718_test1819 series_10,0.756,0.729,0.743,0.685,0.756,124,40,74,199
lg_bal_acc_train1617_1718_test1819 series_11,0.768,0.773,0.771,0.716,0.768,126,38,62,211
lg_bal_acc_train1617_1718_test1819 series_12,0.805,0.784,0.794,0.744,0.805,132,32,59,214
lg_bal_acc_train1617_1718_test1819 series_13,0.738,0.828,0.783,0.729,0.738,121,43,47,226
lg_bal_acc_train1617_1718_test1819 series_14,0.793,0.766,0.779,0.726,0.793,130,34,64,209
lg_bal_acc_train1617_1718_test1819 series_15,0.805,0.777,0.791,0.739,0.805,132,32,61,212
lg_bal_acc_train1617_1718_test1819 series_16,0.829,0.784,0.807,0.758,0.829,136,28,59,214
lg_bal_acc_train1617_1718_test1819 series_17,0.78,0.81,0.795,0.744,0.78,128,36,52,221
lg_bal_acc_train1617_1718_test1819 series_18,0.835,0.777,0.806,0.757,0.835,137,27,61,212
lg_bal_acc_train1617_1718_test1819 series_19,0.78,0.846,0.813,0.766,0.78,128,36,42,231
lg_bal_acc_train1617_1718_test1819 series_20,0.817,0.74,0.778,0.726,0.817,134,30,71,202
lg_bal_acc_train1617_1718_test1819 series_21,0.817,0.788,0.802,0.753,0.817,134,30,58,215
lg_bal_acc_train1617_1819_test1718 series_00,0.682,0.782,0.732,0.675,0.682,105,49,52,187
lg_bal_acc_train1617_1819_test1718 series_01,0.643,0.808,0.725,0.662,0.643,99,55,46,193
lg_bal_acc_train1617_1819_test1718 series_02,0.727,0.774,0.751,0.7,0.727,112,42,54,185
lg_bal_acc_train1617_1819_test1718 series_03,0.701,0.774,0.738,0.684,0.701,108,46,54,185
lg_bal_acc_train1617_1819_test1718 series_04,0.766,0.757,0.762,0.715,0.766,118,36,58,181
lg_bal_acc_train1617_1819_test1718 series_05,0.786,0.778,0.782,0.738,0.786,121,33,53,186
lg_bal_acc_train1617_1819_test1718 series_06,0.786,0.791,0.788,0.745,0.786,121,33,50,189
