prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
svm_bal_acc_train1617_1718_test1819 series_00,0.683,0.795,0.739,0.675,0.683,112,52,56,217
svm_bal_acc_train1617_1718_test1819 series_01,0.695,0.788,0.741,0.679,0.695,114,50,58,215
svm_bal_acc_train1617_1718_test1819 series_02,0.689,0.755,0.722,0.657,0.689,113,51,67,206
svm_bal_acc_train1617_1718_test1819 series_03,0.665,0.751,0.708,0.639,0.665,109,55,68,205
svm_bal_acc_train1617_1718_test1819 series_04,0.677,0.762,0.719,0.653,0.677,111,53,65,208
svm_bal_acc_train1617_1718_test1819 series_05,0.659,0.758,0.708,0.639,0.659,108,56,66,207
svm_bal_acc_train1617_1718_test1819 series_06,0.628,0.788,0.708,0.634,0.628,103,61,58,215
svm_bal_acc_train1617_1718_test1819 series_07,0.652,0.758,0.705,0.635,0.652,107,57,66,207
svm_bal_acc_train1617_1718_test1819 series_08,0.64,0.758,0.699,0.627,0.64,105,59,66,207
svm_bal_acc_train1617_1718_test1819 series_09,0.634,0.769,0.702,0.628,0.634,104,60,63,210
svm_bal_acc_train1617_1718_test1819 series_10,0.695,0.839,0.767,0.708,0.695,114,50,44,229
svm_bal_acc_train1617_1718_test1819 series_11,0.671,0.821,0.746,0.681,0.671,110,54,49,224
svm_bal_acc_train1617_1718_test1819 series_12,0.726,0.817,0.771,0.715,0.726,119,45,50,223
svm_bal_acc_train1617_1718_test1819 series_13,0.677,0.773,0.725,0.659,0.677,111,53,62,211
svm_bal_acc_train1617_1718_test1819 series_14,0.665,0.791,0.728,0.661,0.665,109,55,57,216
svm_bal_acc_train1617_1718_test1819 series_15,0.762,0.784,0.773,0.718,0.762,125,39,59,214
svm_bal_acc_train1617_1718_test1819 series_16,0.72,0.821,0.77,0.713,0.72,118,46,49,224
svm_bal_acc_train1617_1718_test1819 series_17,0.72,0.824,0.772,0.715,0.72,118,46,48,225
svm_bal_acc_train1617_1718_test1819 series_18,0.726,0.828,0.777,0.721,0.726,119,45,47,226
svm_bal_acc_train1617_1718_test1819 series_19,0.732,0.81,0.771,0.714,0.732,120,44,52,221
svm_bal_acc_train1617_1718_test1819 series_20,0.707,0.78,0.744,0.682,0.707,116,48,60,213
svm_bal_acc_train1617_1718_test1819 series_21,0.634,0.78,0.707,0.634,0.634,104,60,60,213
svm_bal_acc_train1617_1819_test1718 series_00,0.669,0.753,0.711,0.652,0.669,103,51,59,180
svm_bal_acc_train1617_1819_test1718 series_01,0.656,0.757,0.707,0.645,0.656,101,53,58,181
svm_bal_acc_train1617_1819_test1718 series_02,0.701,0.724,0.713,0.659,0.701,108,46,66,173
svm_bal_acc_train1617_1819_test1718 series_03,0.656,0.757,0.707,0.645,0.656,101,53,58,181
svm_bal_acc_train1617_1819_test1718 series_04,0.714,0.778,0.746,0.694,0.714,110,44,53,186
svm_bal_acc_train1617_1819_test1718 series_05,0.727,0.799,0.763,0.713,0.727,112,42,48,191
svm_bal_acc_train1617_1819_test1718 series_06,0.721,0.803,0.762,0.712,0.721,111,43,47,192
svm_bal_acc_train1617_1819_test1718 series_07,0.714,0.812,0.763,0.712,0.714,110,44,45,194
svm_bal_acc_train1617_1819_test1718 series_08,0.727,0.757,0.742,0.691,0.727,112,42,58,181
svm_bal_acc_train1617_1819_test1718 series_09,0.74,0.766,0.753,0.704,0.74,114,40,56,183
svm_bal_acc_train1617_1819_test1718 series_10,0.675,0.77,0.723,0.665,0.675,104,50,55,184
svm_bal_acc_train1617_1819_test1718 series_11,0.721,0.766,0.743,0.692,0.721,111,43,56,183
svm_bal_acc_train1617_1819_test1718 series_12,0.721,0.753,0.737,0.685,0.721,111,43,59,180
svm_bal_acc_train1617_1819_test1718 series_13,0.714,0.753,0.734,0.681,0.714,110,44,59,180
svm_bal_acc_train1617_1819_test1718 series_14,0.714,0.787,0.75,0.698,0.714,110,44,51,188
svm_bal_acc_train1617_1819_test1718 series_15,0.773,0.753,0.763,0.717,0.773,119,35,59,180
svm_bal_acc_train1617_1819_test1718 series_16,0.714,0.774,0.744,0.692,0.714,110,44,54,185
svm_bal_acc_train1617_1819_test1718 series_17,0.688,0.782,0.735,0.679,0.688,106,48,52,187
svm_bal_acc_train1617_1819_test1718 series_18,0.701,0.787,0.744,0.69,0.701,108,46,51,188
svm_bal_acc_train1617_1819_test1718 series_19,0.766,0.799,0.783,0.737,0.766,118,36,48,191
svm_bal_acc_train1617_1819_test1718 series_20,0.714,0.795,0.755,0.703,0.714,110,44,49,190
svm_bal_acc_train1617_1819_test1718 series_21,0.734,0.799,0.766,0.717,0.734,113,41,48,191
svm_bal_acc_train1718_1819_test1617 series_00,0.522,0.787,0.654,0.579,0.522,84,77,45,166
svm_bal_acc_train1718_1819_test1617 series_01,0.578,0.754,0.666,0.608,0.578,93,68,52,159
svm_bal_acc_train1718_1819_test1617 series_02,0.553,0.758,0.656,0.591,0.553,89,72,51,160
svm_bal_acc_train1718_1819_test1617 series_03,0.547,0.791,0.669,0.601,0.547,88,73,44,167
svm_bal_acc_train1718_1819_test1617 series_04,0.602,0.758,0.68,0.628,0.602,97,64,51,160
svm_bal_acc_train1718_1819_test1617 series_05,0.64,0.758,0.699,0.654,0.64,103,58,51,160
svm_bal_acc_train1718_1819_test1617 series_06,0.646,0.806,0.726,0.68,0.646,104,57,41,170
svm_bal_acc_train1718_1819_test1617 series_07,0.646,0.763,0.704,0.66,0.646,104,57,50,161
svm_bal_acc_train1718_1819_test1617 series_08,0.64,0.796,0.718,0.671,0.64,103,58,43,168
svm_bal_acc_train1718_1819_test1617 series_09,0.615,0.81,0.713,0.66,0.615,99,62,40,171
svm_bal_acc_train1718_1819_test1617 series_10,0.658,0.791,0.725,0.682,0.658,106,55,44,167
svm_bal_acc_train1718_1819_test1617 series_11,0.671,0.787,0.729,0.688,0.671,108,53,45,166
svm_bal_acc_train1718_1819_test1617 series_12,0.658,0.796,0.727,0.684,0.658,106,55,43,168
svm_bal_acc_train1718_1819_test1617 series_13,0.658,0.777,0.718,0.675,0.658,106,55,47,164
svm_bal_acc_train1718_1819_test1617 series_14,0.677,0.763,0.72,0.681,0.677,109,52,50,161
svm_bal_acc_train1718_1819_test1617 series_15,0.46,0.867,0.663,0.563,0.46,74,87,28,183
svm_bal_acc_train1718_1819_test1617 series_16,0.696,0.768,0.732,0.696,0.696,112,49,49,162
svm_bal_acc_train1718_1819_test1617 series_17,0.683,0.787,0.735,0.696,0.683,110,51,45,166
svm_bal_acc_train1718_1819_test1617 series_18,0.683,0.749,0.716,0.679,0.683,110,51,53,158
svm_bal_acc_train1718_1819_test1617 series_19,0.658,0.791,0.725,0.682,0.658,106,55,44,167
svm_bal_acc_train1718_1819_test1617 series_20,0.671,0.801,0.736,0.695,0.671,108,53,42,169
svm_bal_acc_train1718_1819_test1617 series_21,0.702,0.806,0.754,0.717,0.702,113,48,41,170
svm_bal_acc_train1617_test1718 series_00,0.656,0.703,0.679,0.62,0.656,101,53,71,168
svm_bal_acc_train1617_test1718 series_01,0.688,0.674,0.681,0.627,0.688,106,48,78,161
svm_bal_acc_train1617_test1718 series_02,0.714,0.686,0.7,0.649,0.714,110,44,75,164
svm_bal_acc_train1617_test1718 series_03,0.675,0.707,0.691,0.634,0.675,104,50,70,169
svm_bal_acc_train1617_test1718 series_04,0.617,0.678,0.647,0.583,0.617,95,59,77,162
svm_bal_acc_train1617_test1718 series_05,0.675,0.749,0.712,0.654,0.675,104,50,60,179
svm_bal_acc_train1617_test1718 series_06,0.682,0.669,0.676,0.621,0.682,105,49,79,160
svm_bal_acc_train1617_test1718 series_07,0.714,0.728,0.721,0.669,0.714,110,44,65,174
svm_bal_acc_train1617_test1718 series_08,0.708,0.736,0.722,0.669,0.708,109,45,63,176
