prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
gd_bal_acc_all1718 series_01 part1,0.548,0.833,0.691,0.607,0.548,17,14,8,40
gd_bal_acc_all1718 series_01 part2,0.548,0.875,0.712,0.63,0.548,17,14,6,42
gd_bal_acc_all1718 series_01 part3,0.742,0.708,0.725,0.676,0.742,23,8,14,34
gd_bal_acc_all1718 series_01 part4,0.677,0.766,0.722,0.667,0.677,21,10,11,36
gd_bal_acc_all1718 series_01 part5,0.767,0.667,0.717,0.667,0.767,23,7,16,32
gd_bal_acc_all1718 series_01 MEAN,0.657,0.77,0.713,0.649,0.657,20.2,10.6,11.0,36.8
gd_bal_acc_all1718 series_02 part1,0.774,0.812,0.793,0.75,0.774,24,7,9,39
gd_bal_acc_all1718 series_02 part2,0.645,0.75,0.698,0.635,0.645,20,11,12,36
gd_bal_acc_all1718 series_02 part3,0.645,0.708,0.677,0.615,0.645,20,11,14,34
gd_bal_acc_all1718 series_02 part4,0.767,0.812,0.79,0.742,0.767,23,7,9,39
gd_bal_acc_all1718 series_02 part5,0.484,0.787,0.636,0.536,0.484,15,16,10,37
gd_bal_acc_all1718 series_02 MEAN,0.663,0.774,0.719,0.656,0.663,20.4,10.4,10.8,37.0
gd_bal_acc_all1718 series_03 part1,0.71,0.708,0.709,0.657,0.71,22,9,14,34
gd_bal_acc_all1718 series_03 part2,0.548,0.854,0.701,0.618,0.548,17,14,7,41
gd_bal_acc_all1718 series_03 part3,0.645,0.646,0.645,0.588,0.645,20,11,17,31
gd_bal_acc_all1718 series_03 part4,0.839,0.83,0.834,0.8,0.839,26,5,8,39
gd_bal_acc_all1718 series_03 part5,0.633,0.771,0.702,0.633,0.633,19,11,11,37
gd_bal_acc_all1718 series_03 MEAN,0.675,0.762,0.718,0.659,0.675,20.8,10.0,11.4,36.4
gd_bal_acc_all1718 series_04 part1,0.645,0.792,0.718,0.656,0.645,20,11,10,38
gd_bal_acc_all1718 series_04 part2,0.774,0.688,0.731,0.686,0.774,24,7,15,33
gd_bal_acc_all1718 series_04 part3,0.613,0.729,0.671,0.603,0.613,19,12,13,35
gd_bal_acc_all1718 series_04 part4,0.633,0.854,0.744,0.679,0.633,19,11,7,41
gd_bal_acc_all1718 series_04 part5,0.516,0.723,0.62,0.533,0.516,16,15,13,34
gd_bal_acc_all1718 series_04 MEAN,0.636,0.757,0.697,0.631,0.636,19.6,11.2,11.6,36.2
gd_bal_acc_all1718 series_05 part1,0.484,0.771,0.627,0.526,0.484,15,16,11,37
gd_bal_acc_all1718 series_05 part2,0.645,0.812,0.729,0.667,0.645,20,11,9,39
gd_bal_acc_all1718 series_05 part3,0.806,0.688,0.747,0.704,0.806,25,6,15,33
gd_bal_acc_all1718 series_05 part4,0.833,0.646,0.74,0.694,0.833,25,5,17,31
gd_bal_acc_all1718 series_05 part5,0.548,0.745,0.647,0.567,0.548,17,14,12,35
gd_bal_acc_all1718 series_05 MEAN,0.663,0.732,0.698,0.632,0.663,20.4,10.4,12.8,35.0
gd_bal_acc_all1718 series_06 part1,0.742,0.854,0.798,0.754,0.742,23,8,7,41
gd_bal_acc_all1718 series_06 part2,0.581,0.75,0.665,0.59,0.581,18,13,12,36
gd_bal_acc_all1718 series_06 part3,0.645,0.708,0.677,0.615,0.645,20,11,14,34
gd_bal_acc_all1718 series_06 part4,0.767,0.792,0.779,0.73,0.767,23,7,10,38
gd_bal_acc_all1718 series_06 part5,0.677,0.766,0.722,0.667,0.677,21,10,11,36
gd_bal_acc_all1718 series_06 MEAN,0.682,0.774,0.728,0.671,0.682,21.0,9.8,10.8,37.0
gd_bal_acc_all1718 series_07 part1,0.645,0.792,0.718,0.656,0.645,20,11,10,38
gd_bal_acc_all1718 series_07 part2,0.548,0.812,0.68,0.596,0.548,17,14,9,39
gd_bal_acc_all1718 series_07 part3,0.71,0.771,0.74,0.688,0.71,22,9,11,37
gd_bal_acc_all1718 series_07 part4,0.677,0.66,0.668,0.618,0.677,21,10,16,31
gd_bal_acc_all1718 series_07 part5,0.667,0.771,0.719,0.656,0.667,20,10,11,37
gd_bal_acc_all1718 series_07 MEAN,0.649,0.761,0.705,0.643,0.649,20.0,10.8,11.4,36.4
gd_bal_acc_all1718 series_08 part1,0.613,0.812,0.713,0.644,0.613,19,12,9,39
gd_bal_acc_all1718 series_08 part2,0.613,0.688,0.65,0.585,0.613,19,12,15,33
gd_bal_acc_all1718 series_08 part3,0.742,0.854,0.798,0.754,0.742,23,8,7,41
gd_bal_acc_all1718 series_08 part4,0.867,0.792,0.829,0.788,0.867,26,4,10,38
gd_bal_acc_all1718 series_08 part5,0.71,0.787,0.748,0.698,0.71,22,9,10,37
gd_bal_acc_all1718 series_08 MEAN,0.709,0.787,0.748,0.694,0.709,21.8,9.0,10.2,37.6
gd_bal_acc_all1718 series_09 part1,0.839,0.708,0.774,0.732,0.839,26,5,14,34
gd_bal_acc_all1718 series_09 part2,0.71,0.792,0.751,0.698,0.71,22,9,10,38
gd_bal_acc_all1718 series_09 part3,0.774,0.833,0.804,0.762,0.774,24,7,8,40
gd_bal_acc_all1718 series_09 part4,0.633,0.771,0.702,0.633,0.633,19,11,11,37
gd_bal_acc_all1718 series_09 part5,0.645,0.83,0.737,0.678,0.645,20,11,8,39
gd_bal_acc_all1718 series_09 MEAN,0.72,0.787,0.754,0.701,0.72,22.2,8.6,10.2,37.6
gd_bal_acc_all1718 series_10 part1,0.774,0.75,0.762,0.716,0.774,24,7,12,36
gd_bal_acc_all1718 series_10 part2,0.806,0.854,0.83,0.794,0.806,25,6,7,41
gd_bal_acc_all1718 series_10 part3,0.484,0.854,0.669,0.566,0.484,15,16,7,41
gd_bal_acc_all1718 series_10 part4,0.613,0.723,0.668,0.603,0.613,19,12,13,34
gd_bal_acc_all1718 series_10 part5,0.8,0.771,0.785,0.738,0.8,24,6,11,37
gd_bal_acc_all1718 series_10 MEAN,0.695,0.791,0.743,0.684,0.695,21.4,9.4,10.0,37.8
gd_bal_acc_all1718 series_11 part1,0.677,0.812,0.745,0.689,0.677,21,10,9,39
gd_bal_acc_all1718 series_11 part2,0.71,0.729,0.719,0.667,0.71,22,9,13,35
gd_bal_acc_all1718 series_11 part3,0.71,0.688,0.699,0.647,0.71,22,9,15,33
gd_bal_acc_all1718 series_11 part4,0.645,0.766,0.706,0.645,0.645,20,11,11,36
gd_bal_acc_all1718 series_11 part5,0.533,0.833,0.683,0.593,0.533,16,14,8,40
gd_bal_acc_all1718 series_11 MEAN,0.655,0.766,0.71,0.648,0.655,20.2,10.6,11.2,36.6
gd_bal_acc_all1718 series_12 part1,0.806,0.771,0.789,0.746,0.806,25,6,11,37
gd_bal_acc_all1718 series_12 part2,0.71,0.938,0.824,0.786,0.71,22,9,3,45
gd_bal_acc_all1718 series_12 part3,0.71,0.792,0.751,0.698,0.71,22,9,10,38
gd_bal_acc_all1718 series_12 part4,0.833,0.792,0.812,0.769,0.833,25,5,10,38
gd_bal_acc_all1718 series_12 part5,0.806,0.83,0.818,0.781,0.806,25,6,8,39
gd_bal_acc_all1718 series_12 MEAN,0.773,0.824,0.799,0.756,0.773,23.8,7.0,8.4,39.4
gd_bal_acc_all1718 series_13 part1,0.613,0.854,0.734,0.667,0.613,19,12,7,41
gd_bal_acc_all1718 series_13 part2,0.742,0.833,0.788,0.742,0.742,23,8,8,40
gd_bal_acc_all1718 series_13 part3,0.806,0.729,0.768,0.725,0.806,25,6,13,35
gd_bal_acc_all1718 series_13 part4,0.767,0.854,0.81,0.767,0.767,23,7,7,41
gd_bal_acc_all1718 series_13 part5,0.806,0.809,0.807,0.769,0.806,25,6,9,38
gd_bal_acc_all1718 series_13 MEAN,0.747,0.816,0.781,0.734,0.747,23.0,7.8,8.8,39.0
gd_bal_acc_all1718 series_14 part1,0.645,0.917,0.781,0.727,0.645,20,11,4,44
gd_bal_acc_all1718 series_14 part2,0.935,0.854,0.895,0.866,0.935,29,2,7,41
gd_bal_acc_all1718 series_14 part3,0.71,0.812,0.761,0.71,0.71,22,9,9,39
gd_bal_acc_all1718 series_14 part4,0.667,0.771,0.719,0.656,0.667,20,10,11,37
