prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
lg_bal_acc_all1819 series_01 part1,0.727,0.745,0.736,0.676,0.727,24,9,14,41
lg_bal_acc_all1819 series_01 part2,0.667,0.818,0.742,0.677,0.667,22,11,10,45
lg_bal_acc_all1819 series_01 part3,0.545,0.704,0.625,0.537,0.545,18,15,16,38
lg_bal_acc_all1819 series_01 part4,0.788,0.833,0.811,0.765,0.788,26,7,9,45
lg_bal_acc_all1819 series_01 part5,0.719,0.764,0.741,0.676,0.719,23,9,13,42
lg_bal_acc_all1819 series_01 MEAN,0.689,0.773,0.731,0.666,0.689,22.6,10.2,12.4,42.2
lg_bal_acc_all1819 series_02 part1,0.727,0.8,0.764,0.706,0.727,24,9,11,44
lg_bal_acc_all1819 series_02 part2,0.667,0.818,0.742,0.677,0.667,22,11,10,45
lg_bal_acc_all1819 series_02 part3,0.576,0.759,0.668,0.585,0.576,19,14,13,41
lg_bal_acc_all1819 series_02 part4,0.697,0.815,0.756,0.697,0.697,23,10,10,44
lg_bal_acc_all1819 series_02 part5,0.719,0.782,0.75,0.687,0.719,23,9,12,43
lg_bal_acc_all1819 series_02 MEAN,0.677,0.795,0.736,0.67,0.677,22.2,10.6,11.2,43.4
lg_bal_acc_all1819 series_03 part1,0.636,0.891,0.764,0.7,0.636,21,12,6,49
lg_bal_acc_all1819 series_03 part2,0.758,0.836,0.797,0.746,0.758,25,8,9,46
lg_bal_acc_all1819 series_03 part3,0.625,0.709,0.667,0.588,0.625,20,12,16,39
lg_bal_acc_all1819 series_03 part4,0.788,0.796,0.792,0.743,0.788,26,7,11,43
lg_bal_acc_all1819 series_03 part5,0.667,0.63,0.648,0.587,0.667,22,11,20,34
lg_bal_acc_all1819 series_03 MEAN,0.695,0.772,0.734,0.673,0.695,22.8,10.0,12.4,42.2
lg_bal_acc_all1819 series_04 part1,0.455,0.836,0.645,0.526,0.455,15,18,9,46
lg_bal_acc_all1819 series_04 part2,0.939,0.745,0.842,0.795,0.939,31,2,14,41
lg_bal_acc_all1819 series_04 part3,0.758,0.759,0.758,0.704,0.758,25,8,13,41
lg_bal_acc_all1819 series_04 part4,0.818,0.778,0.798,0.75,0.818,27,6,12,42
lg_bal_acc_all1819 series_04 part5,0.844,0.745,0.795,0.74,0.844,27,5,14,41
lg_bal_acc_all1819 series_04 MEAN,0.763,0.773,0.768,0.703,0.763,25.0,7.8,12.4,42.2
lg_bal_acc_all1819 series_05 part1,0.879,0.745,0.812,0.763,0.879,29,4,14,41
lg_bal_acc_all1819 series_05 part2,0.848,0.691,0.77,0.718,0.848,28,5,17,38
lg_bal_acc_all1819 series_05 part3,0.594,0.782,0.688,0.603,0.594,19,13,12,43
lg_bal_acc_all1819 series_05 part4,0.848,0.833,0.841,0.8,0.848,28,5,9,45
lg_bal_acc_all1819 series_05 part5,0.788,0.704,0.746,0.693,0.788,26,7,16,38
lg_bal_acc_all1819 series_05 MEAN,0.791,0.751,0.771,0.716,0.791,26.0,6.8,13.6,41.0
lg_bal_acc_all1819 series_06 part1,0.697,0.818,0.758,0.697,0.697,23,10,10,45
lg_bal_acc_all1819 series_06 part2,0.788,0.8,0.794,0.743,0.788,26,7,11,44
lg_bal_acc_all1819 series_06 part3,0.594,0.691,0.642,0.559,0.594,19,13,17,38
lg_bal_acc_all1819 series_06 part4,0.636,0.87,0.753,0.689,0.636,21,12,7,47
lg_bal_acc_all1819 series_06 part5,0.758,0.759,0.758,0.704,0.758,25,8,13,41
lg_bal_acc_all1819 series_06 MEAN,0.695,0.788,0.741,0.678,0.695,22.8,10.0,11.6,43.0
lg_bal_acc_all1819 series_07 part1,0.788,0.782,0.785,0.732,0.788,26,7,12,43
lg_bal_acc_all1819 series_07 part2,0.758,0.764,0.761,0.704,0.758,25,8,13,42
lg_bal_acc_all1819 series_07 part3,0.656,0.727,0.692,0.618,0.656,21,11,15,40
lg_bal_acc_all1819 series_07 part4,0.606,0.722,0.664,0.588,0.606,20,13,15,39
lg_bal_acc_all1819 series_07 part5,0.758,0.833,0.795,0.746,0.758,25,8,9,45
lg_bal_acc_all1819 series_07 MEAN,0.713,0.766,0.739,0.678,0.713,23.4,9.4,12.8,41.8
lg_bal_acc_all1819 series_08 part1,0.727,0.855,0.791,0.738,0.727,24,9,8,47
lg_bal_acc_all1819 series_08 part2,0.788,0.691,0.739,0.684,0.788,26,7,17,38
lg_bal_acc_all1819 series_08 part3,0.562,0.8,0.681,0.59,0.562,18,14,11,44
lg_bal_acc_all1819 series_08 part4,0.758,0.778,0.768,0.714,0.758,25,8,12,42
lg_bal_acc_all1819 series_08 part5,0.758,0.667,0.712,0.658,0.758,25,8,18,36
lg_bal_acc_all1819 series_08 MEAN,0.719,0.758,0.738,0.677,0.719,23.6,9.2,13.2,41.4
lg_bal_acc_all1819 series_09 part1,0.667,0.782,0.724,0.657,0.667,22,11,12,43
lg_bal_acc_all1819 series_09 part2,0.818,0.709,0.764,0.711,0.818,27,6,16,39
lg_bal_acc_all1819 series_09 part3,0.719,0.8,0.759,0.697,0.719,23,9,11,44
lg_bal_acc_all1819 series_09 part4,0.697,0.796,0.747,0.687,0.697,23,10,11,43
lg_bal_acc_all1819 series_09 part5,0.727,0.796,0.762,0.706,0.727,24,9,11,43
lg_bal_acc_all1819 series_09 MEAN,0.726,0.777,0.751,0.691,0.726,23.8,9.0,12.2,42.4
lg_bal_acc_all1819 series_10 part1,0.788,0.709,0.748,0.693,0.788,26,7,16,39
lg_bal_acc_all1819 series_10 part2,0.758,0.855,0.806,0.758,0.758,25,8,8,47
lg_bal_acc_all1819 series_10 part3,0.818,0.648,0.733,0.684,0.818,27,6,19,35
lg_bal_acc_all1819 series_10 part4,0.636,0.796,0.716,0.646,0.636,21,12,11,43
lg_bal_acc_all1819 series_10 part5,0.875,0.818,0.847,0.8,0.875,28,4,10,45
lg_bal_acc_all1819 series_10 MEAN,0.775,0.765,0.77,0.716,0.775,25.4,7.4,12.8,41.8
lg_bal_acc_all1819 series_11 part1,0.818,0.855,0.836,0.794,0.818,27,6,8,47
lg_bal_acc_all1819 series_11 part2,0.636,0.745,0.691,0.618,0.636,21,12,14,41
lg_bal_acc_all1819 series_11 part3,0.75,0.745,0.748,0.686,0.75,24,8,14,41
lg_bal_acc_all1819 series_11 part4,0.848,0.815,0.832,0.789,0.848,28,5,10,44
lg_bal_acc_all1819 series_11 part5,0.667,0.833,0.75,0.688,0.667,22,11,9,45
lg_bal_acc_all1819 series_11 MEAN,0.744,0.799,0.771,0.715,0.744,24.4,8.4,11.0,43.6
lg_bal_acc_all1819 series_12 part1,0.848,0.8,0.824,0.778,0.848,28,5,11,44
lg_bal_acc_all1819 series_12 part2,0.788,0.745,0.767,0.712,0.788,26,7,14,41
lg_bal_acc_all1819 series_12 part3,0.781,0.8,0.791,0.735,0.781,25,7,11,44
lg_bal_acc_all1819 series_12 part4,0.576,0.926,0.751,0.679,0.576,19,14,4,50
lg_bal_acc_all1819 series_12 part5,0.818,0.796,0.807,0.761,0.818,27,6,11,43
lg_bal_acc_all1819 series_12 MEAN,0.762,0.814,0.788,0.733,0.762,25.0,7.8,10.2,44.4
lg_bal_acc_all1819 series_13 part1,0.727,0.745,0.736,0.676,0.727,24,9,14,41
lg_bal_acc_all1819 series_13 part2,0.818,0.727,0.773,0.72,0.818,27,6,15,40
lg_bal_acc_all1819 series_13 part3,0.75,0.945,0.848,0.814,0.75,24,8,3,52
lg_bal_acc_all1819 series_13 part4,0.879,0.648,0.763,0.716,0.879,29,4,19,35
lg_bal_acc_all1819 series_13 part5,0.818,0.87,0.844,0.806,0.818,27,6,7,47
lg_bal_acc_all1819 series_13 MEAN,0.798,0.787,0.793,0.746,0.798,26.2,6.6,11.6,43.0
lg_bal_acc_all1819 series_14 part1,0.758,0.855,0.806,0.758,0.758,25,8,8,47
lg_bal_acc_all1819 series_14 part2,0.667,0.818,0.742,0.677,0.667,22,11,10,45
lg_bal_acc_all1819 series_14 part3,0.781,0.818,0.8,0.746,0.781,25,7,10,45
lg_bal_acc_all1819 series_14 part4,0.818,0.722,0.77,0.72,0.818,27,6,15,39
lg_bal_acc_all1819 series_14 part5,0.818,0.778,0.798,0.75,0.818,27,6,12,42
lg_bal_acc_all1819 series_14 MEAN,0.768,0.798,0.783,0.73,0.768,25.2,7.6,11.0,43.6
lg_bal_acc_all1819 series_15 part1,0.758,0.745,0.752,0.694,0.758,25,8,14,41
lg_bal_acc_all1819 series_15 part2,0.697,0.709,0.703,0.639,0.697,23,10,16,39
lg_bal_acc_all1819 series_15 part3,0.875,0.836,0.856,0.812,0.875,28,4,9,46
lg_bal_acc_all1819 series_15 part4,0.697,0.796,0.747,0.687,0.697,23,10,11,43
lg_bal_acc_all1819 series_15 part5,0.879,0.796,0.838,0.795,0.879,29,4,11,43
lg_bal_acc_all1819 series_15 MEAN,0.781,0.777,0.779,0.725,0.781,25.6,7.2,12.2,42.4
lg_bal_acc_all1819 series_16 part1,0.697,0.727,0.712,0.648,0.697,23,10,15,40
lg_bal_acc_all1819 series_16 part2,0.788,0.891,0.839,0.8,0.788,26,7,6,49
lg_bal_acc_all1819 series_16 part3,0.719,0.873,0.796,0.742,0.719,23,9,7,48
lg_bal_acc_all1819 series_16 part4,0.818,0.778,0.798,0.75,0.818,27,6,12,42
lg_bal_acc_all1819 series_16 part5,0.818,0.796,0.807,0.761,0.818,27,6,11,43
lg_bal_acc_all1819 series_16 MEAN,0.768,0.813,0.79,0.74,0.768,25.2,7.6,10.2,44.4
lg_bal_acc_all1819 series_17 part1,0.818,0.764,0.791,0.74,0.818,27,6,13,42
lg_bal_acc_all1819 series_17 part2,0.697,0.818,0.758,0.697,0.697,23,10,10,45
lg_bal_acc_all1819 series_17 part3,0.781,0.727,0.754,0.694,0.781,25,7,15,40
lg_bal_acc_all1819 series_17 part4,0.879,0.796,0.838,0.795,0.879,29,4,11,43
lg_bal_acc_all1819 series_17 part5,0.848,0.722,0.785,0.737,0.848,28,5,15,39
lg_bal_acc_all1819 series_17 MEAN,0.805,0.766,0.785,0.733,0.805,26.4,6.4,12.8,41.8
lg_bal_acc_all1819 series_18 part1,0.727,0.782,0.755,0.696,0.727,24,9,12,43
lg_bal_acc_all1819 series_18 part2,0.848,0.782,0.815,0.767,0.848,28,5,12,43
lg_bal_acc_all1819 series_18 part3,0.75,0.782,0.766,0.706,0.75,24,8,12,43
lg_bal_acc_all1819 series_18 part4,0.879,0.796,0.838,0.795,0.879,29,4,11,43
lg_bal_acc_all1819 series_18 part5,0.818,0.574,0.696,0.651,0.818,27,6,23,31
lg_bal_acc_all1819 series_18 MEAN,0.805,0.743,0.774,0.723,0.805,26.4,6.4,14.0,40.6
lg_bal_acc_all1819 series_19 part1,0.727,0.818,0.773,0.716,0.727,24,9,10,45
lg_bal_acc_all1819 series_19 part2,0.848,0.836,0.842,0.8,0.848,28,5,9,46
lg_bal_acc_all1819 series_19 part3,0.781,0.709,0.745,0.685,0.781,25,7,16,39
lg_bal_acc_all1819 series_19 part4,0.788,0.833,0.811,0.765,0.788,26,7,9,45
lg_bal_acc_all1819 series_19 part5,0.848,0.704,0.776,0.727,0.848,28,5,16,38
lg_bal_acc_all1819 series_19 MEAN,0.799,0.78,0.789,0.739,0.799,26.2,6.6,12.0,42.6
lg_bal_acc_all1819 series_20 part1,0.818,0.745,0.782,0.73,0.818,27,6,14,41
lg_bal_acc_all1819 series_20 part2,0.788,0.818,0.803,0.754,0.788,26,7,10,45
lg_bal_acc_all1819 series_20 part3,0.656,0.855,0.755,0.689,0.656,21,11,8,47
lg_bal_acc_all1819 series_20 part4,0.848,0.704,0.776,0.727,0.848,28,5,16,38
lg_bal_acc_all1819 series_20 part5,0.848,0.852,0.85,0.812,0.848,28,5,8,46
lg_bal_acc_all1819 series_20 MEAN,0.792,0.795,0.793,0.742,0.792,26.0,6.8,11.2,43.4
lg_bal_acc_all1819 series_21 part1,0.697,0.782,0.739,0.676,0.697,23,10,12,43
lg_bal_acc_all1819 series_21 part2,0.879,0.764,0.821,0.773,0.879,29,4,13,42
lg_bal_acc_all1819 series_21 part3,0.906,0.745,0.826,0.773,0.906,29,3,14,41
lg_bal_acc_all1819 series_21 part4,0.606,0.889,0.747,0.678,0.606,20,13,6,48
lg_bal_acc_all1819 series_21 part5,0.879,0.741,0.81,0.763,0.879,29,4,14,40
lg_bal_acc_all1819 series_21 MEAN,0.793,0.784,0.789,0.733,0.793,26.0,6.8,11.8,42.8
lg_bal_acc_all1819 series_22 part1,0.758,0.818,0.788,0.735,0.758,25,8,10,45
lg_bal_acc_all1819 series_22 part2,0.758,0.873,0.815,0.769,0.758,25,8,7,48
lg_bal_acc_all1819 series_22 part3,0.788,0.759,0.774,0.722,0.788,26,7,13,41
lg_bal_acc_all1819 series_22 part4,0.879,0.852,0.865,0.829,0.879,29,4,8,46
lg_bal_acc_all1819 series_22 part5,0.875,0.818,0.847,0.8,0.875,28,4,10,45
lg_bal_acc_all1819 series_22 MEAN,0.811,0.824,0.818,0.771,0.811,26.6,6.2,9.6,45.0
