prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
rf_bal_acc_all1819 series_01 part1,0.545,0.873,0.709,0.621,0.545,18,15,7,48
rf_bal_acc_all1819 series_01 part2,0.455,0.836,0.645,0.526,0.455,15,18,9,46
rf_bal_acc_all1819 series_01 part3,0.455,0.815,0.635,0.517,0.455,15,18,10,44
rf_bal_acc_all1819 series_01 part4,0.576,0.833,0.705,0.623,0.576,19,14,9,45
rf_bal_acc_all1819 series_01 part5,0.688,0.836,0.762,0.698,0.688,22,10,9,46
rf_bal_acc_all1819 series_01 MEAN,0.544,0.839,0.691,0.597,0.544,17.8,15.0,8.8,45.8
rf_bal_acc_all1819 series_02 part1,0.667,0.909,0.788,0.733,0.667,22,11,5,50
rf_bal_acc_all1819 series_02 part2,0.758,0.782,0.77,0.714,0.758,25,8,12,43
rf_bal_acc_all1819 series_02 part3,0.485,0.852,0.668,0.561,0.485,16,17,8,46
rf_bal_acc_all1819 series_02 part4,0.697,0.833,0.765,0.708,0.697,23,10,9,45
rf_bal_acc_all1819 series_02 part5,0.625,0.855,0.74,0.667,0.625,20,12,8,47
rf_bal_acc_all1819 series_02 MEAN,0.646,0.846,0.746,0.677,0.646,21.2,11.6,8.4,46.2
rf_bal_acc_all1819 series_03 part1,0.545,0.909,0.727,0.643,0.545,18,15,5,50
rf_bal_acc_all1819 series_03 part2,0.697,0.836,0.767,0.708,0.697,23,10,9,46
rf_bal_acc_all1819 series_03 part3,0.469,0.782,0.625,0.508,0.469,15,17,12,43
rf_bal_acc_all1819 series_03 part4,0.667,0.833,0.75,0.688,0.667,22,11,9,45
rf_bal_acc_all1819 series_03 part5,0.697,0.685,0.691,0.63,0.697,23,10,17,37
rf_bal_acc_all1819 series_03 MEAN,0.615,0.809,0.712,0.635,0.615,20.2,12.6,10.4,44.2
rf_bal_acc_all1819 series_04 part1,0.424,0.873,0.648,0.519,0.424,14,19,7,48
rf_bal_acc_all1819 series_04 part2,0.727,0.836,0.782,0.727,0.727,24,9,9,46
rf_bal_acc_all1819 series_04 part3,0.394,0.87,0.632,0.491,0.394,13,20,7,47
rf_bal_acc_all1819 series_04 part4,0.636,0.815,0.726,0.656,0.636,21,12,10,44
rf_bal_acc_all1819 series_04 part5,0.688,0.782,0.735,0.667,0.688,22,10,12,43
rf_bal_acc_all1819 series_04 MEAN,0.574,0.835,0.705,0.612,0.574,18.8,14.0,9.0,45.6
rf_bal_acc_all1819 series_05 part1,0.606,0.855,0.73,0.656,0.606,20,13,8,47
rf_bal_acc_all1819 series_05 part2,0.545,0.855,0.7,0.61,0.545,18,15,8,47
rf_bal_acc_all1819 series_05 part3,0.469,0.855,0.662,0.545,0.469,15,17,8,47
rf_bal_acc_all1819 series_05 part4,0.848,0.852,0.85,0.812,0.848,28,5,8,46
rf_bal_acc_all1819 series_05 part5,0.697,0.796,0.747,0.687,0.697,23,10,11,43
rf_bal_acc_all1819 series_05 MEAN,0.633,0.842,0.738,0.662,0.633,20.8,12.0,8.6,46.0
rf_bal_acc_all1819 series_06 part1,0.576,0.818,0.697,0.613,0.576,19,14,10,45
rf_bal_acc_all1819 series_06 part2,0.667,0.891,0.779,0.721,0.667,22,11,6,49
rf_bal_acc_all1819 series_06 part3,0.469,0.782,0.625,0.508,0.469,15,17,12,43
rf_bal_acc_all1819 series_06 part4,0.576,0.907,0.742,0.667,0.576,19,14,5,49
rf_bal_acc_all1819 series_06 part5,0.515,0.889,0.702,0.607,0.515,17,16,6,48
rf_bal_acc_all1819 series_06 MEAN,0.56,0.857,0.709,0.623,0.56,18.4,14.4,7.8,46.8
rf_bal_acc_all1819 series_07 part1,0.636,0.891,0.764,0.7,0.636,21,12,6,49
rf_bal_acc_all1819 series_07 part2,0.667,0.782,0.724,0.657,0.667,22,11,12,43
rf_bal_acc_all1819 series_07 part3,0.625,0.836,0.731,0.656,0.625,20,12,9,46
rf_bal_acc_all1819 series_07 part4,0.576,0.778,0.677,0.594,0.576,19,14,12,42
rf_bal_acc_all1819 series_07 part5,0.727,0.907,0.817,0.774,0.727,24,9,5,49
rf_bal_acc_all1819 series_07 MEAN,0.646,0.839,0.743,0.676,0.646,21.2,11.6,8.8,45.8
rf_bal_acc_all1819 series_08 part1,0.606,0.927,0.767,0.702,0.606,20,13,4,51
rf_bal_acc_all1819 series_08 part2,0.667,0.818,0.742,0.677,0.667,22,11,10,45
rf_bal_acc_all1819 series_08 part3,0.438,0.891,0.664,0.538,0.438,14,18,6,49
rf_bal_acc_all1819 series_08 part4,0.576,0.833,0.705,0.623,0.576,19,14,9,45
rf_bal_acc_all1819 series_08 part5,0.697,0.833,0.765,0.708,0.697,23,10,9,45
rf_bal_acc_all1819 series_08 MEAN,0.597,0.861,0.729,0.65,0.597,19.6,13.2,7.6,47.0
rf_bal_acc_all1819 series_09 part1,0.545,0.836,0.691,0.6,0.545,18,15,9,46
rf_bal_acc_all1819 series_09 part2,0.727,0.836,0.782,0.727,0.727,24,9,9,46
rf_bal_acc_all1819 series_09 part3,0.688,0.927,0.807,0.759,0.688,22,10,4,51
rf_bal_acc_all1819 series_09 part4,0.636,0.833,0.735,0.667,0.636,21,12,9,45
rf_bal_acc_all1819 series_09 part5,0.667,0.833,0.75,0.688,0.667,22,11,9,45
rf_bal_acc_all1819 series_09 MEAN,0.653,0.853,0.753,0.688,0.653,21.4,11.4,8.0,46.6
rf_bal_acc_all1819 series_10 part1,0.606,0.782,0.694,0.615,0.606,20,13,12,43
rf_bal_acc_all1819 series_10 part2,0.606,0.927,0.767,0.702,0.606,20,13,4,51
rf_bal_acc_all1819 series_10 part3,0.727,0.889,0.808,0.762,0.727,24,9,6,48
rf_bal_acc_all1819 series_10 part4,0.576,0.778,0.677,0.594,0.576,19,14,12,42
rf_bal_acc_all1819 series_10 part5,0.656,0.818,0.737,0.667,0.656,21,11,10,45
rf_bal_acc_all1819 series_10 MEAN,0.634,0.839,0.737,0.668,0.634,20.8,12.0,8.8,45.8
rf_bal_acc_all1819 series_11 part1,0.788,0.873,0.83,0.788,0.788,26,7,7,48
rf_bal_acc_all1819 series_11 part2,0.485,0.927,0.706,0.604,0.485,16,17,4,51
rf_bal_acc_all1819 series_11 part3,0.594,0.818,0.706,0.623,0.594,19,13,10,45
rf_bal_acc_all1819 series_11 part4,0.697,0.833,0.765,0.708,0.697,23,10,9,45
rf_bal_acc_all1819 series_11 part5,0.576,0.87,0.723,0.644,0.576,19,14,7,47
rf_bal_acc_all1819 series_11 MEAN,0.628,0.864,0.746,0.673,0.628,20.6,12.2,7.4,47.2
rf_bal_acc_all1819 series_12 part1,0.636,0.855,0.745,0.677,0.636,21,12,8,47
rf_bal_acc_all1819 series_12 part2,0.727,0.891,0.809,0.762,0.727,24,9,6,49
rf_bal_acc_all1819 series_12 part3,0.469,0.909,0.689,0.577,0.469,15,17,5,50
rf_bal_acc_all1819 series_12 part4,0.545,0.852,0.699,0.61,0.545,18,15,8,46
rf_bal_acc_all1819 series_12 part5,0.697,0.889,0.793,0.742,0.697,23,10,6,48
rf_bal_acc_all1819 series_12 MEAN,0.615,0.879,0.747,0.674,0.615,20.2,12.6,6.6,48.0
rf_bal_acc_all1819 series_13 part1,0.545,0.855,0.7,0.61,0.545,18,15,8,47
rf_bal_acc_all1819 series_13 part2,0.697,0.855,0.776,0.719,0.697,23,10,8,47
rf_bal_acc_all1819 series_13 part3,0.688,0.909,0.798,0.746,0.688,22,10,5,50
rf_bal_acc_all1819 series_13 part4,0.727,0.815,0.771,0.716,0.727,24,9,10,44
rf_bal_acc_all1819 series_13 part5,0.636,0.944,0.79,0.737,0.636,21,12,3,51
rf_bal_acc_all1819 series_13 MEAN,0.659,0.875,0.767,0.706,0.659,21.6,11.2,6.8,47.8
rf_bal_acc_all1819 series_14 part1,0.636,0.964,0.8,0.75,0.636,21,12,2,53
rf_bal_acc_all1819 series_14 part2,0.576,0.891,0.733,0.655,0.576,19,14,6,49
rf_bal_acc_all1819 series_14 part3,0.75,0.818,0.784,0.727,0.75,24,8,10,45
rf_bal_acc_all1819 series_14 part4,0.606,0.759,0.683,0.606,0.606,20,13,13,41
rf_bal_acc_all1819 series_14 part5,0.758,0.926,0.842,0.806,0.758,25,8,4,50
rf_bal_acc_all1819 series_14 MEAN,0.665,0.872,0.768,0.709,0.665,21.8,11.0,7.0,47.6
rf_bal_acc_all1819 series_15 part1,0.636,0.818,0.727,0.656,0.636,21,12,10,45
rf_bal_acc_all1819 series_15 part2,0.697,0.927,0.812,0.767,0.697,23,10,4,51
rf_bal_acc_all1819 series_15 part3,0.594,0.873,0.733,0.655,0.594,19,13,7,48
rf_bal_acc_all1819 series_15 part4,0.636,0.852,0.744,0.677,0.636,21,12,8,46
rf_bal_acc_all1819 series_15 part5,0.667,0.87,0.769,0.71,0.667,22,11,7,47
rf_bal_acc_all1819 series_15 MEAN,0.646,0.868,0.757,0.693,0.646,21.2,11.6,7.2,47.4
rf_bal_acc_all1819 series_16 part1,0.485,0.873,0.679,0.571,0.485,16,17,7,48
rf_bal_acc_all1819 series_16 part2,0.788,0.836,0.812,0.765,0.788,26,7,9,46
rf_bal_acc_all1819 series_16 part3,0.562,0.8,0.681,0.59,0.562,18,14,11,44
rf_bal_acc_all1819 series_16 part4,0.667,0.926,0.796,0.746,0.667,22,11,4,50
rf_bal_acc_all1819 series_16 part5,0.606,0.907,0.757,0.69,0.606,20,13,5,49
rf_bal_acc_all1819 series_16 MEAN,0.622,0.868,0.745,0.672,0.622,20.4,12.4,7.2,47.4
rf_bal_acc_all1819 series_17 part1,0.636,0.836,0.736,0.667,0.636,21,12,9,46
rf_bal_acc_all1819 series_17 part2,0.394,0.873,0.633,0.491,0.394,13,20,7,48
rf_bal_acc_all1819 series_17 part3,0.5,0.836,0.668,0.561,0.5,16,16,9,46
rf_bal_acc_all1819 series_17 part4,0.727,0.944,0.836,0.8,0.727,24,9,3,51
rf_bal_acc_all1819 series_17 part5,0.727,0.852,0.79,0.738,0.727,24,9,8,46
rf_bal_acc_all1819 series_17 MEAN,0.597,0.868,0.733,0.651,0.597,19.6,13.2,7.2,47.4
rf_bal_acc_all1819 series_18 part1,0.364,0.927,0.645,0.49,0.364,12,21,4,51
rf_bal_acc_all1819 series_18 part2,0.727,0.927,0.827,0.787,0.727,24,9,4,51
