prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
fea_extractor_gd_bal_acc_train1617_1718_test1819 series_00,0.495,0.685,0.59,0.475,0.495,53,54,63,137
fea_extractor_gd_bal_acc_train1617_1718_test1819 series_01,0.607,0.615,0.611,0.522,0.607,65,42,77,123
fea_extractor_gd_bal_acc_train1617_1718_test1819 series_02,0.579,0.665,0.622,0.525,0.579,62,45,67,133
fea_extractor_gd_bal_acc_train1617_1718_test1819 series_03,0.579,0.7,0.64,0.541,0.579,62,45,60,140
fea_extractor_gd_bal_acc_train1617_1718_test1819 series_04,0.785,0.48,0.633,0.569,0.785,84,23,104,96
fea_extractor_gd_bal_acc_train1617_1718_test1819 series_05,0.766,0.625,0.696,0.621,0.766,82,25,75,125
fea_extractor_gd_bal_acc_train1617_1718_test1819 series_06,0.71,0.68,0.695,0.615,0.71,76,31,64,136
fea_extractor_gd_bal_acc_train1617_1718_test1819 series_07,0.785,0.71,0.748,0.675,0.785,84,23,58,142
fea_extractor_gd_bal_acc_train1617_1718_test1819 series_08,0.785,0.695,0.74,0.667,0.785,84,23,61,139
fea_extractor_gd_bal_acc_train1617_1718_test1819 series_09,0.757,0.715,0.736,0.661,0.757,81,26,57,143
fea_extractor_gd_bal_acc_train1617_1718_test1819 series_10,0.766,0.74,0.753,0.68,0.766,82,25,52,148
fea_extractor_gd_bal_acc_train1617_1718_test1819 series_11,0.832,0.605,0.718,0.647,0.832,89,18,79,121
fea_extractor_gd_bal_acc_train1617_1819_test1718 series_00,0.324,0.819,0.572,0.419,0.324,36,75,25,113
fea_extractor_gd_bal_acc_train1617_1819_test1718 series_01,0.369,0.645,0.507,0.408,0.369,41,70,49,89
fea_extractor_gd_bal_acc_train1617_1819_test1718 series_02,0.423,0.783,0.603,0.5,0.423,47,64,30,108
fea_extractor_gd_bal_acc_train1617_1819_test1718 series_03,0.495,0.783,0.639,0.561,0.495,55,56,30,108
fea_extractor_gd_bal_acc_train1617_1819_test1718 series_04,0.595,0.725,0.66,0.614,0.595,66,45,38,100
fea_extractor_gd_bal_acc_train1617_1819_test1718 series_05,0.712,0.775,0.744,0.715,0.712,79,32,31,107
fea_extractor_gd_bal_acc_train1617_1819_test1718 series_06,0.703,0.833,0.768,0.736,0.703,78,33,23,115
fea_extractor_gd_bal_acc_train1617_1819_test1718 series_07,0.649,0.877,0.763,0.72,0.649,72,39,17,121
fea_extractor_gd_bal_acc_train1617_1819_test1718 series_08,0.676,0.877,0.776,0.739,0.676,75,36,17,121
fea_extractor_gd_bal_acc_train1617_1819_test1718 series_09,0.676,0.87,0.773,0.735,0.676,75,36,18,120
fea_extractor_gd_bal_acc_train1617_1819_test1718 series_10,0.685,0.841,0.763,0.727,0.685,76,35,22,116
fea_extractor_gd_bal_acc_train1617_1819_test1718 series_11,0.685,0.862,0.774,0.738,0.685,76,35,19,119
fea_extractor_gd_bal_acc_train1718_1819_test1617 series_00,0.325,0.883,0.604,0.445,0.325,49,102,20,151
fea_extractor_gd_bal_acc_train1718_1819_test1617 series_01,0.013,0.988,0.501,0.026,0.013,2,149,2,169
fea_extractor_gd_bal_acc_train1718_1819_test1617 series_02,0.391,0.713,0.552,0.456,0.391,59,92,49,122
fea_extractor_gd_bal_acc_train1718_1819_test1617 series_03,0.609,0.801,0.705,0.664,0.609,92,59,34,137
fea_extractor_gd_bal_acc_train1718_1819_test1617 series_04,0.609,0.848,0.729,0.684,0.609,92,59,26,145
fea_extractor_gd_bal_acc_train1718_1819_test1617 series_05,0.57,0.807,0.688,0.637,0.57,86,65,33,138
fea_extractor_gd_bal_acc_train1718_1819_test1617 series_06,0.669,0.889,0.779,0.745,0.669,101,50,19,152
fea_extractor_gd_bal_acc_train1718_1819_test1617 series_07,0.709,0.871,0.79,0.764,0.709,107,44,22,149
fea_extractor_gd_bal_acc_train1718_1819_test1617 series_08,0.715,0.895,0.805,0.78,0.715,108,43,18,153
fea_extractor_gd_bal_acc_train1718_1819_test1617 series_09,0.709,0.895,0.802,0.775,0.709,107,44,18,153
fea_extractor_gd_bal_acc_train1718_1819_test1617 series_10,0.742,0.889,0.815,0.794,0.742,112,39,19,152
fea_extractor_gd_bal_acc_train1718_1819_test1617 series_11,0.748,0.912,0.83,0.81,0.748,113,38,15,156
fea_extractor_gd_bal_acc_train1617_test1718 series_00,0.441,0.703,0.572,0.488,0.441,49,62,41,97
fea_extractor_gd_bal_acc_train1617_test1718 series_01,0.604,0.609,0.606,0.578,0.604,67,44,54,84
fea_extractor_gd_bal_acc_train1617_test1718 series_02,0.613,0.551,0.582,0.564,0.613,68,43,62,76
fea_extractor_gd_bal_acc_train1617_test1718 series_03,0.55,0.79,0.67,0.607,0.55,61,50,29,109
fea_extractor_gd_bal_acc_train1617_test1718 series_04,0.64,0.71,0.675,0.64,0.64,71,40,40,98
fea_extractor_gd_bal_acc_train1617_test1718 series_05,0.793,0.746,0.77,0.752,0.793,88,23,35,103
fea_extractor_gd_bal_acc_train1617_test1718 series_06,0.802,0.768,0.785,0.767,0.802,89,22,32,106
fea_extractor_gd_bal_acc_train1617_test1718 series_07,0.757,0.79,0.773,0.75,0.757,84,27,29,109
