prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
fea_extractor_lg_bal_acc_train1617_1718_test1819 series_00,0.551,0.675,0.613,0.511,0.551,59,48,65,135
fea_extractor_lg_bal_acc_train1617_1718_test1819 series_01,0.673,0.56,0.616,0.539,0.673,72,35,88,112
fea_extractor_lg_bal_acc_train1617_1718_test1819 series_02,0.72,0.605,0.662,0.586,0.72,77,30,79,121
fea_extractor_lg_bal_acc_train1617_1718_test1819 series_03,0.776,0.59,0.683,0.61,0.776,83,24,82,118
fea_extractor_lg_bal_acc_train1617_1718_test1819 series_04,0.645,0.665,0.655,0.568,0.645,69,38,67,133
fea_extractor_lg_bal_acc_train1617_1718_test1819 series_05,0.794,0.66,0.727,0.654,0.794,85,22,68,132
fea_extractor_lg_bal_acc_train1617_1718_test1819 series_06,0.729,0.77,0.749,0.675,0.729,78,29,46,154
fea_extractor_lg_bal_acc_train1617_1718_test1819 series_07,0.813,0.73,0.772,0.702,0.813,87,20,54,146
fea_extractor_lg_bal_acc_train1617_1718_test1819 series_08,0.776,0.79,0.783,0.716,0.776,83,24,42,158
fea_extractor_lg_bal_acc_train1617_1718_test1819 series_09,0.785,0.76,0.773,0.703,0.785,84,23,48,152
fea_extractor_lg_bal_acc_train1617_1718_test1819 series_10,0.804,0.75,0.777,0.708,0.804,86,21,50,150
fea_extractor_lg_bal_acc_train1617_1718_test1819 series_11,0.804,0.68,0.742,0.669,0.804,86,21,64,136
fea_extractor_lg_bal_acc_train1617_1819_test1718 series_00,0.559,0.659,0.609,0.564,0.559,62,49,47,91
fea_extractor_lg_bal_acc_train1617_1819_test1718 series_01,0.577,0.681,0.629,0.584,0.577,64,47,44,94
fea_extractor_lg_bal_acc_train1617_1819_test1718 series_02,0.405,0.797,0.601,0.489,0.405,45,66,28,110
fea_extractor_lg_bal_acc_train1617_1819_test1718 series_03,0.559,0.746,0.652,0.596,0.559,62,49,35,103
fea_extractor_lg_bal_acc_train1617_1819_test1718 series_04,0.55,0.79,0.67,0.607,0.55,61,50,29,109
fea_extractor_lg_bal_acc_train1617_1819_test1718 series_05,0.667,0.855,0.761,0.722,0.667,74,37,20,118
fea_extractor_lg_bal_acc_train1617_1819_test1718 series_06,0.667,0.833,0.75,0.712,0.667,74,37,23,115
fea_extractor_lg_bal_acc_train1617_1819_test1718 series_07,0.64,0.87,0.755,0.71,0.64,71,40,18,120
fea_extractor_lg_bal_acc_train1617_1819_test1718 series_08,0.64,0.884,0.762,0.717,0.64,71,40,16,122
fea_extractor_lg_bal_acc_train1617_1819_test1718 series_09,0.685,0.891,0.788,0.752,0.685,76,35,15,123
fea_extractor_lg_bal_acc_train1617_1819_test1718 series_10,0.685,0.877,0.781,0.745,0.685,76,35,17,121
fea_extractor_lg_bal_acc_train1617_1819_test1718 series_11,0.712,0.906,0.809,0.778,0.712,79,32,13,125
fea_extractor_lg_bal_acc_train1718_1819_test1617 series_00,0.543,0.749,0.646,0.594,0.543,82,69,43,128
fea_extractor_lg_bal_acc_train1718_1819_test1617 series_01,0.536,0.778,0.657,0.6,0.536,81,70,38,133
fea_extractor_lg_bal_acc_train1718_1819_test1617 series_02,0.517,0.819,0.668,0.6,0.517,78,73,31,140
fea_extractor_lg_bal_acc_train1718_1819_test1617 series_03,0.583,0.807,0.695,0.647,0.583,88,63,33,138
fea_extractor_lg_bal_acc_train1718_1819_test1617 series_04,0.609,0.83,0.72,0.676,0.609,92,59,29,142
fea_extractor_lg_bal_acc_train1718_1819_test1617 series_05,0.669,0.889,0.779,0.745,0.669,101,50,19,152
fea_extractor_lg_bal_acc_train1718_1819_test1617 series_06,0.669,0.906,0.788,0.754,0.669,101,50,16,155
fea_extractor_lg_bal_acc_train1718_1819_test1617 series_07,0.709,0.906,0.808,0.781,0.709,107,44,16,155
fea_extractor_lg_bal_acc_train1718_1819_test1617 series_08,0.728,0.912,0.82,0.797,0.728,110,41,15,156
fea_extractor_lg_bal_acc_train1718_1819_test1617 series_09,0.728,0.906,0.817,0.794,0.728,110,41,16,155
fea_extractor_lg_bal_acc_train1718_1819_test1617 series_10,0.715,0.936,0.825,0.8,0.715,108,43,11,160
fea_extractor_lg_bal_acc_train1718_1819_test1617 series_11,0.748,0.924,0.836,0.816,0.748,113,38,13,158
fea_extractor_lg_bal_acc_train1617_test1718 series_00,0.523,0.696,0.609,0.55,0.523,58,53,42,96
fea_extractor_lg_bal_acc_train1617_test1718 series_01,0.613,0.594,0.603,0.579,0.613,68,43,56,82
fea_extractor_lg_bal_acc_train1617_test1718 series_02,0.577,0.623,0.6,0.564,0.577,64,47,52,86
fea_extractor_lg_bal_acc_train1617_test1718 series_03,0.685,0.681,0.683,0.658,0.685,76,35,44,94
fea_extractor_lg_bal_acc_train1617_test1718 series_04,0.586,0.754,0.67,0.619,0.586,65,46,34,104
fea_extractor_lg_bal_acc_train1617_test1718 series_05,0.748,0.783,0.765,0.741,0.748,83,28,30,108
fea_extractor_lg_bal_acc_train1617_test1718 series_06,0.748,0.739,0.743,0.722,0.748,83,28,36,102
fea_extractor_lg_bal_acc_train1617_test1718 series_07,0.694,0.804,0.749,0.716,0.694,77,34,27,111
fea_extractor_lg_bal_acc_train1617_test1718 series_08,0.739,0.826,0.782,0.756,0.739,82,29,24,114
fea_extractor_lg_bal_acc_train1617_test1718 series_09,0.73,0.804,0.767,0.74,0.73,81,30,27,111
fea_extractor_lg_bal_acc_train1617_test1718 series_10,0.766,0.804,0.785,0.762,0.766,85,26,27,111
fea_extractor_lg_bal_acc_train1617_test1718 series_11,0.766,0.877,0.821,0.798,0.766,85,26,17,121
fea_extractor_lg_bal_acc_train1617_test1819 series_00,0.542,0.635,0.589,0.487,0.542,58,49,73,127
fea_extractor_lg_bal_acc_train1617_test1819 series_01,0.757,0.53,0.644,0.574,0.757,81,26,94,106
fea_extractor_lg_bal_acc_train1617_test1819 series_02,0.757,0.595,0.676,0.602,0.757,81,26,81,119
fea_extractor_lg_bal_acc_train1617_test1819 series_03,0.72,0.66,0.69,0.611,0.72,77,30,68,132
fea_extractor_lg_bal_acc_train1617_test1819 series_04,0.682,0.7,0.691,0.608,0.682,73,34,60,140
fea_extractor_lg_bal_acc_train1617_test1819 series_05,0.748,0.705,0.726,0.65,0.748,80,27,59,141
fea_extractor_lg_bal_acc_train1617_test1819 series_06,0.766,0.71,0.738,0.664,0.766,82,25,58,142
fea_extractor_lg_bal_acc_train1617_test1819 series_07,0.822,0.73,0.776,0.707,0.822,88,19,54,146
fea_extractor_lg_bal_acc_train1617_test1819 series_08,0.766,0.81,0.788,0.722,0.766,82,25,38,162
fea_extractor_lg_bal_acc_train1617_test1819 series_09,0.776,0.82,0.798,0.735,0.776,83,24,36,164
fea_extractor_lg_bal_acc_train1617_test1819 series_10,0.822,0.74,0.781,0.713,0.822,88,19,52,148
fea_extractor_lg_bal_acc_train1617_test1819 series_11,0.813,0.835,0.824,0.767,0.813,87,20,33,167
fea_extractor_lg_bal_acc_train1718_test1617 series_00,0.609,0.684,0.647,0.62,0.609,92,59,54,117
fea_extractor_lg_bal_acc_train1718_test1617 series_01,0.695,0.684,0.69,0.677,0.695,105,46,54,117
fea_extractor_lg_bal_acc_train1718_test1617 series_02,0.649,0.655,0.652,0.636,0.649,98,53,59,112
fea_extractor_lg_bal_acc_train1718_test1617 series_03,0.748,0.684,0.716,0.711,0.748,113,38,54,117
fea_extractor_lg_bal_acc_train1718_test1617 series_04,0.662,0.801,0.732,0.702,0.662,100,51,34,137
fea_extractor_lg_bal_acc_train1718_test1617 series_05,0.715,0.836,0.776,0.753,0.715,108,43,28,143
fea_extractor_lg_bal_acc_train1718_test1617 series_06,0.722,0.86,0.791,0.768,0.722,109,42,24,147
