prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
fea_extractor_rf_bal_acc_train1617_1718_test1819 series_00,0.393,0.785,0.589,0.438,0.393,42,65,43,157
fea_extractor_rf_bal_acc_train1617_1718_test1819 series_01,0.598,0.67,0.634,0.54,0.598,64,43,66,134
fea_extractor_rf_bal_acc_train1617_1718_test1819 series_02,0.692,0.59,0.641,0.563,0.692,74,33,82,118
fea_extractor_rf_bal_acc_train1617_1718_test1819 series_03,0.542,0.745,0.644,0.537,0.542,58,49,51,149
fea_extractor_rf_bal_acc_train1617_1718_test1819 series_04,0.533,0.835,0.684,0.579,0.533,57,50,33,167
fea_extractor_rf_bal_acc_train1617_1718_test1819 series_05,0.701,0.705,0.703,0.622,0.701,75,32,59,141
fea_extractor_rf_bal_acc_train1617_1718_test1819 series_06,0.692,0.75,0.721,0.641,0.692,74,33,50,150
fea_extractor_rf_bal_acc_train1617_1718_test1819 series_07,0.738,0.8,0.769,0.699,0.738,79,28,40,160
fea_extractor_rf_bal_acc_train1617_1718_test1819 series_08,0.729,0.775,0.752,0.678,0.729,78,29,45,155
fea_extractor_rf_bal_acc_train1617_1718_test1819 series_09,0.701,0.795,0.748,0.673,0.701,75,32,41,159
fea_extractor_rf_bal_acc_train1617_1718_test1819 series_10,0.72,0.77,0.745,0.67,0.72,77,30,46,154
fea_extractor_rf_bal_acc_train1617_1718_test1819 series_11,0.785,0.715,0.75,0.677,0.785,84,23,57,143
fea_extractor_rf_bal_acc_train1617_1819_test1718 series_00,0.261,0.906,0.584,0.379,0.261,29,82,13,125
fea_extractor_rf_bal_acc_train1617_1819_test1718 series_01,0.324,0.826,0.575,0.421,0.324,36,75,24,114
fea_extractor_rf_bal_acc_train1617_1819_test1718 series_02,0.423,0.761,0.592,0.492,0.423,47,64,33,105
fea_extractor_rf_bal_acc_train1617_1819_test1718 series_03,0.414,0.783,0.599,0.492,0.414,46,65,30,108
fea_extractor_rf_bal_acc_train1617_1819_test1718 series_04,0.387,0.87,0.628,0.5,0.387,43,68,18,120
fea_extractor_rf_bal_acc_train1617_1819_test1718 series_05,0.505,0.87,0.687,0.605,0.505,56,55,18,120
fea_extractor_rf_bal_acc_train1617_1819_test1718 series_06,0.532,0.87,0.701,0.628,0.532,59,52,18,120
fea_extractor_rf_bal_acc_train1617_1819_test1718 series_07,0.568,0.906,0.737,0.674,0.568,63,48,13,125
fea_extractor_rf_bal_acc_train1617_1819_test1718 series_08,0.505,0.942,0.723,0.64,0.505,56,55,8,130
fea_extractor_rf_bal_acc_train1617_1819_test1718 series_09,0.559,0.891,0.725,0.66,0.559,62,49,15,123
fea_extractor_rf_bal_acc_train1617_1819_test1718 series_10,0.586,0.942,0.764,0.707,0.586,65,46,8,130
fea_extractor_rf_bal_acc_train1617_1819_test1718 series_11,0.658,0.949,0.803,0.764,0.658,73,38,7,131
fea_extractor_rf_bal_acc_train1718_1819_test1617 series_00,0.219,0.93,0.574,0.337,0.219,33,118,12,159
fea_extractor_rf_bal_acc_train1718_1819_test1617 series_01,0.238,0.942,0.59,0.365,0.238,36,115,10,161
fea_extractor_rf_bal_acc_train1718_1819_test1617 series_02,0.404,0.883,0.644,0.526,0.404,61,90,20,151
fea_extractor_rf_bal_acc_train1718_1819_test1617 series_03,0.483,0.854,0.669,0.586,0.483,73,78,25,146
fea_extractor_rf_bal_acc_train1718_1819_test1617 series_04,0.503,0.889,0.696,0.618,0.503,76,75,19,152
fea_extractor_rf_bal_acc_train1718_1819_test1617 series_05,0.623,0.93,0.776,0.732,0.623,94,57,12,159
fea_extractor_rf_bal_acc_train1718_1819_test1617 series_06,0.642,0.883,0.763,0.724,0.642,97,54,20,151
fea_extractor_rf_bal_acc_train1718_1819_test1617 series_07,0.616,0.971,0.793,0.747,0.616,93,58,5,166
fea_extractor_rf_bal_acc_train1718_1819_test1617 series_08,0.596,0.994,0.795,0.744,0.596,90,61,1,170
fea_extractor_rf_bal_acc_train1718_1819_test1617 series_09,0.629,0.977,0.803,0.76,0.629,95,56,4,167
fea_extractor_rf_bal_acc_train1718_1819_test1617 series_10,0.623,0.959,0.791,0.746,0.623,94,57,7,164
fea_extractor_rf_bal_acc_train1718_1819_test1617 series_11,0.689,0.977,0.833,0.803,0.689,104,47,4,167
fea_extractor_rf_bal_acc_train1617_test1718 series_00,0.532,0.761,0.646,0.581,0.532,59,52,33,105
fea_extractor_rf_bal_acc_train1617_test1718 series_01,0.541,0.696,0.618,0.563,0.541,60,51,42,96
fea_extractor_rf_bal_acc_train1617_test1718 series_02,0.712,0.601,0.657,0.645,0.712,79,32,55,83
fea_extractor_rf_bal_acc_train1617_test1718 series_03,0.559,0.739,0.649,0.593,0.559,62,49,36,102
fea_extractor_rf_bal_acc_train1617_test1718 series_04,0.595,0.754,0.674,0.626,0.595,66,45,34,104
fea_extractor_rf_bal_acc_train1617_test1718 series_05,0.64,0.826,0.733,0.689,0.64,71,40,24,114
fea_extractor_rf_bal_acc_train1617_test1718 series_06,0.703,0.819,0.761,0.729,0.703,78,33,25,113
fea_extractor_rf_bal_acc_train1617_test1718 series_07,0.613,0.935,0.774,0.723,0.613,68,43,9,129
fea_extractor_rf_bal_acc_train1617_test1718 series_08,0.64,0.87,0.755,0.71,0.64,71,40,18,120
fea_extractor_rf_bal_acc_train1617_test1718 series_09,0.658,0.804,0.731,0.692,0.658,73,38,27,111
fea_extractor_rf_bal_acc_train1617_test1718 series_10,0.703,0.862,0.783,0.75,0.703,78,33,19,119
fea_extractor_rf_bal_acc_train1617_test1718 series_11,0.775,0.906,0.84,0.819,0.775,86,25,13,125
fea_extractor_rf_bal_acc_train1617_test1819 series_00,0.43,0.765,0.597,0.46,0.43,46,61,47,153
fea_extractor_rf_bal_acc_train1617_test1819 series_01,0.701,0.58,0.64,0.564,0.701,75,32,84,116
fea_extractor_rf_bal_acc_train1617_test1819 series_02,0.682,0.675,0.679,0.596,0.682,73,34,65,135
fea_extractor_rf_bal_acc_train1617_test1819 series_03,0.607,0.66,0.634,0.542,0.607,65,42,68,132
fea_extractor_rf_bal_acc_train1617_test1819 series_04,0.645,0.75,0.697,0.611,0.645,69,38,50,150
fea_extractor_rf_bal_acc_train1617_test1819 series_05,0.664,0.74,0.702,0.617,0.664,71,36,52,148
fea_extractor_rf_bal_acc_train1617_test1819 series_06,0.692,0.78,0.736,0.658,0.692,74,33,44,156
fea_extractor_rf_bal_acc_train1617_test1819 series_07,0.757,0.785,0.771,0.701,0.757,81,26,43,157
fea_extractor_rf_bal_acc_train1617_test1819 series_08,0.748,0.795,0.771,0.702,0.748,80,27,41,159
fea_extractor_rf_bal_acc_train1617_test1819 series_09,0.729,0.765,0.747,0.672,0.729,78,29,47,153
fea_extractor_rf_bal_acc_train1617_test1819 series_10,0.748,0.785,0.766,0.696,0.748,80,27,43,157
fea_extractor_rf_bal_acc_train1617_test1819 series_11,0.766,0.78,0.773,0.704,0.766,82,25,44,156
fea_extractor_rf_bal_acc_train1718_test1617 series_00,0.285,0.906,0.596,0.41,0.285,43,108,16,155
fea_extractor_rf_bal_acc_train1718_test1617 series_01,0.437,0.842,0.64,0.541,0.437,66,85,27,144
fea_extractor_rf_bal_acc_train1718_test1617 series_02,0.066,0.977,0.521,0.121,0.066,10,141,4,167
fea_extractor_rf_bal_acc_train1718_test1617 series_03,0.629,0.789,0.709,0.674,0.629,95,56,36,135
fea_extractor_rf_bal_acc_train1718_test1617 series_04,0.642,0.801,0.722,0.688,0.642,97,54,34,137
fea_extractor_rf_bal_acc_train1718_test1617 series_05,0.728,0.848,0.788,0.767,0.728,110,41,26,145
fea_extractor_rf_bal_acc_train1718_test1617 series_06,0.755,0.865,0.81,0.792,0.755,114,37,23,148
fea_extractor_rf_bal_acc_train1718_test1617 series_07,0.709,0.912,0.81,0.784,0.709,107,44,15,156
fea_extractor_rf_bal_acc_train1718_test1617 series_08,0.722,0.936,0.829,0.804,0.722,109,42,11,160
fea_extractor_rf_bal_acc_train1718_test1617 series_09,0.642,0.912,0.777,0.738,0.642,97,54,15,156
fea_extractor_rf_bal_acc_train1718_test1617 series_10,0.695,0.871,0.783,0.755,0.695,105,46,22,149
fea_extractor_rf_bal_acc_train1718_test1617 series_11,0.748,0.947,0.848,0.828,0.748,113,38,9,162
fea_extractor_rf_bal_acc_train1718_test1819 series_00,0.458,0.675,0.566,0.443,0.458,49,58,65,135
fea_extractor_rf_bal_acc_train1718_test1819 series_01,0.589,0.67,0.629,0.534,0.589,63,44,66,134
fea_extractor_rf_bal_acc_train1718_test1819 series_02,0.308,0.9,0.604,0.412,0.308,33,74,20,180
fea_extractor_rf_bal_acc_train1718_test1819 series_03,0.477,0.775,0.626,0.502,0.477,51,56,45,155
fea_extractor_rf_bal_acc_train1718_test1819 series_04,0.542,0.81,0.676,0.571,0.542,58,49,38,162
fea_extractor_rf_bal_acc_train1718_test1819 series_05,0.636,0.735,0.685,0.596,0.636,68,39,53,147
fea_extractor_rf_bal_acc_train1718_test1819 series_06,0.682,0.745,0.714,0.632,0.682,73,34,51,149
fea_extractor_rf_bal_acc_train1718_test1819 series_07,0.701,0.725,0.713,0.633,0.701,75,32,55,145
fea_extractor_rf_bal_acc_train1718_test1819 series_08,0.598,0.815,0.707,0.615,0.598,64,43,37,163
fea_extractor_rf_bal_acc_train1718_test1819 series_09,0.626,0.76,0.693,0.604,0.626,67,40,48,152
fea_extractor_rf_bal_acc_train1718_test1819 series_10,0.748,0.715,0.731,0.656,0.748,80,27,57,143
fea_extractor_rf_bal_acc_train1718_test1819 series_11,0.785,0.645,0.715,0.641,0.785,84,23,71,129
fea_extractor_rf_bal_acc_train1819_test1617 series_00,0.245,0.877,0.561,0.354,0.245,37,114,21,150
fea_extractor_rf_bal_acc_train1819_test1617 series_01,0.298,0.924,0.611,0.431,0.298,45,106,13,158
fea_extractor_rf_bal_acc_train1819_test1617 series_02,0.47,0.813,0.642,0.559,0.47,71,80,32,139
fea_extractor_rf_bal_acc_train1819_test1617 series_03,0.291,0.947,0.619,0.431,0.291,44,107,9,162
fea_extractor_rf_bal_acc_train1819_test1617 series_04,0.51,0.871,0.691,0.616,0.51,77,74,22,149
fea_extractor_rf_bal_acc_train1819_test1617 series_05,0.563,0.906,0.735,0.675,0.563,85,66,16,155
fea_extractor_rf_bal_acc_train1819_test1617 series_06,0.543,0.93,0.736,0.669,0.543,82,69,12,159
fea_extractor_rf_bal_acc_train1819_test1617 series_07,0.51,0.982,0.746,0.667,0.51,77,74,3,168
fea_extractor_rf_bal_acc_train1819_test1617 series_08,0.49,0.965,0.727,0.641,0.49,74,77,6,165
fea_extractor_rf_bal_acc_train1819_test1617 series_09,0.556,0.994,0.775,0.712,0.556,84,67,1,170
fea_extractor_rf_bal_acc_train1819_test1617 series_10,0.523,0.994,0.759,0.684,0.523,79,72,1,170
fea_extractor_rf_bal_acc_train1819_test1617 series_11,0.576,0.942,0.759,0.702,0.576,87,64,10,161
fea_extractor_rf_bal_acc_train1819_test1718 series_00,0.207,0.92,0.564,0.317,0.207,23,88,11,127
fea_extractor_rf_bal_acc_train1819_test1718 series_01,0.279,0.877,0.578,0.39,0.279,31,80,17,121
fea_extractor_rf_bal_acc_train1819_test1718 series_02,0.324,0.826,0.575,0.421,0.324,36,75,24,114
fea_extractor_rf_bal_acc_train1819_test1718 series_03,0.225,0.92,0.573,0.34,0.225,25,86,11,127
fea_extractor_rf_bal_acc_train1819_test1718 series_04,0.369,0.862,0.616,0.48,0.369,41,70,19,119
fea_extractor_rf_bal_acc_train1819_test1718 series_05,0.36,0.928,0.644,0.497,0.36,40,71,10,128
fea_extractor_rf_bal_acc_train1819_test1718 series_06,0.459,0.87,0.665,0.567,0.459,51,60,18,120
fea_extractor_rf_bal_acc_train1819_test1718 series_07,0.297,0.978,0.638,0.449,0.297,33,78,3,135
fea_extractor_rf_bal_acc_train1819_test1718 series_08,0.297,0.978,0.638,0.449,0.297,33,78,3,135
fea_extractor_rf_bal_acc_train1819_test1718 series_09,0.288,0.978,0.633,0.438,0.288,32,79,3,135
fea_extractor_rf_bal_acc_train1819_test1718 series_10,0.27,1.0,0.635,0.426,0.27,30,81,0,138
fea_extractor_rf_bal_acc_train1819_test1718 series_11,0.225,1.0,0.613,0.368,0.225,25,86,0,138
fea_extractor_rf_bal_acc_all1617 series_01 part1,0.633,0.571,0.602,0.594,0.633,19,11,15,20
fea_extractor_rf_bal_acc_all1617 series_01 part2,0.677,0.765,0.721,0.7,0.677,21,10,8,26
fea_extractor_rf_bal_acc_all1617 series_01 part3,0.733,0.676,0.705,0.698,0.733,22,8,11,23
fea_extractor_rf_bal_acc_all1617 series_01 part4,0.667,0.706,0.686,0.667,0.667,20,10,10,24
fea_extractor_rf_bal_acc_all1617 series_01 part5,0.7,0.882,0.791,0.764,0.7,21,9,4,30
fea_extractor_rf_bal_acc_all1617 series_01 MEAN,0.682,0.72,0.701,0.684,0.682,20.6,9.6,9.6,24.6
fea_extractor_rf_bal_acc_all1617 series_02 part1,0.733,0.571,0.652,0.657,0.733,22,8,15,20
fea_extractor_rf_bal_acc_all1617 series_02 part2,0.774,0.529,0.652,0.676,0.774,24,7,16,18
fea_extractor_rf_bal_acc_all1617 series_02 part3,0.633,0.794,0.714,0.679,0.633,19,11,7,27
fea_extractor_rf_bal_acc_all1617 series_02 part4,0.667,0.824,0.745,0.714,0.667,20,10,6,28
fea_extractor_rf_bal_acc_all1617 series_02 part5,0.767,0.706,0.736,0.73,0.767,23,7,10,24
fea_extractor_rf_bal_acc_all1617 series_02 MEAN,0.715,0.685,0.7,0.691,0.715,21.6,8.6,10.8,23.4
fea_extractor_rf_bal_acc_all1617 series_03 part1,0.733,0.629,0.681,0.677,0.733,22,8,13,22
fea_extractor_rf_bal_acc_all1617 series_03 part2,0.71,0.706,0.708,0.698,0.71,22,9,10,24
fea_extractor_rf_bal_acc_all1617 series_03 part3,0.567,0.647,0.607,0.576,0.567,17,13,12,22
fea_extractor_rf_bal_acc_all1617 series_03 part4,0.7,0.706,0.703,0.689,0.7,21,9,10,24
fea_extractor_rf_bal_acc_all1617 series_03 part5,0.6,0.618,0.609,0.59,0.6,18,12,13,21
fea_extractor_rf_bal_acc_all1617 series_03 MEAN,0.662,0.661,0.661,0.646,0.662,20.0,10.2,11.6,22.6
fea_extractor_rf_bal_acc_all1617 series_04 part1,0.667,0.829,0.748,0.714,0.667,20,10,6,29
fea_extractor_rf_bal_acc_all1617 series_04 part2,0.742,0.676,0.709,0.708,0.742,23,8,11,23
fea_extractor_rf_bal_acc_all1617 series_04 part3,0.633,0.765,0.699,0.667,0.633,19,11,8,26
fea_extractor_rf_bal_acc_all1617 series_04 part4,0.7,0.735,0.718,0.7,0.7,21,9,9,25
fea_extractor_rf_bal_acc_all1617 series_04 part5,0.733,0.794,0.764,0.746,0.733,22,8,7,27
fea_extractor_rf_bal_acc_all1617 series_04 MEAN,0.695,0.76,0.727,0.707,0.695,21.0,9.2,8.2,26.0
fea_extractor_rf_bal_acc_all1617 series_05 part1,0.667,0.743,0.705,0.678,0.667,20,10,9,26
fea_extractor_rf_bal_acc_all1617 series_05 part2,0.677,0.765,0.721,0.7,0.677,21,10,8,26
fea_extractor_rf_bal_acc_all1617 series_05 part3,0.7,0.824,0.762,0.737,0.7,21,9,6,28
fea_extractor_rf_bal_acc_all1617 series_05 part4,0.567,0.824,0.695,0.642,0.567,17,13,6,28
fea_extractor_rf_bal_acc_all1617 series_05 part5,0.667,0.853,0.76,0.727,0.667,20,10,5,29
fea_extractor_rf_bal_acc_all1617 series_05 MEAN,0.655,0.802,0.728,0.697,0.655,19.8,10.4,6.8,27.4
fea_extractor_rf_bal_acc_all1617 series_06 part1,0.7,0.914,0.807,0.778,0.7,21,9,3,32
fea_extractor_rf_bal_acc_all1617 series_06 part2,0.742,0.853,0.797,0.78,0.742,23,8,5,29
fea_extractor_rf_bal_acc_all1617 series_06 part3,0.8,0.882,0.841,0.828,0.8,24,6,4,30
fea_extractor_rf_bal_acc_all1617 series_06 part4,0.833,0.765,0.799,0.794,0.833,25,5,8,26
fea_extractor_rf_bal_acc_all1617 series_06 part5,0.7,0.735,0.718,0.7,0.7,21,9,9,25
fea_extractor_rf_bal_acc_all1617 series_06 MEAN,0.755,0.83,0.792,0.776,0.755,22.8,7.4,5.8,28.4
fea_extractor_rf_bal_acc_all1617 series_07 part1,0.733,0.886,0.81,0.786,0.733,22,8,4,31
fea_extractor_rf_bal_acc_all1617 series_07 part2,0.71,0.853,0.781,0.759,0.71,22,9,5,29
fea_extractor_rf_bal_acc_all1617 series_07 part3,0.7,0.971,0.835,0.808,0.7,21,9,1,33
fea_extractor_rf_bal_acc_all1617 series_07 part4,0.7,0.941,0.821,0.792,0.7,21,9,2,32
fea_extractor_rf_bal_acc_all1617 series_07 part5,0.767,0.794,0.78,0.767,0.767,23,7,7,27
fea_extractor_rf_bal_acc_all1617 series_07 MEAN,0.722,0.889,0.805,0.782,0.722,21.8,8.4,3.8,30.4
fea_extractor_rf_bal_acc_all1617 series_08 part1,0.677,0.882,0.78,0.75,0.677,21,10,4,30
fea_extractor_rf_bal_acc_all1617 series_08 part2,0.767,0.886,0.826,0.807,0.767,23,7,4,31
fea_extractor_rf_bal_acc_all1617 series_08 part3,0.8,0.882,0.841,0.828,0.8,24,6,4,30
fea_extractor_rf_bal_acc_all1617 series_08 part4,0.767,0.882,0.825,0.807,0.767,23,7,4,30
fea_extractor_rf_bal_acc_all1617 series_08 part5,0.7,0.794,0.747,0.724,0.7,21,9,7,27
fea_extractor_rf_bal_acc_all1617 series_08 MEAN,0.742,0.865,0.804,0.783,0.742,22.4,7.8,4.6,29.6
fea_extractor_rf_bal_acc_all1617 series_09 part1,0.567,0.971,0.769,0.708,0.567,17,13,1,34
fea_extractor_rf_bal_acc_all1617 series_09 part2,0.71,0.824,0.767,0.746,0.71,22,9,6,28
fea_extractor_rf_bal_acc_all1617 series_09 part3,0.733,0.912,0.823,0.8,0.733,22,8,3,31
fea_extractor_rf_bal_acc_all1617 series_09 part4,0.8,0.912,0.856,0.842,0.8,24,6,3,31
fea_extractor_rf_bal_acc_all1617 series_09 part5,0.8,0.853,0.826,0.814,0.8,24,6,5,29
fea_extractor_rf_bal_acc_all1617 series_09 MEAN,0.722,0.894,0.808,0.782,0.722,21.8,8.4,3.6,30.6
fea_extractor_rf_bal_acc_all1617 series_10 part1,0.633,0.8,0.717,0.679,0.633,19,11,7,28
fea_extractor_rf_bal_acc_all1617 series_10 part2,0.839,0.912,0.875,0.867,0.839,26,5,3,31
fea_extractor_rf_bal_acc_all1617 series_10 part3,0.833,0.824,0.828,0.82,0.833,25,5,6,28
fea_extractor_rf_bal_acc_all1617 series_10 part4,0.833,0.971,0.902,0.893,0.833,25,5,1,33
fea_extractor_rf_bal_acc_all1617 series_10 part5,0.633,0.882,0.758,0.717,0.633,19,11,4,30
fea_extractor_rf_bal_acc_all1617 series_10 MEAN,0.754,0.878,0.816,0.795,0.754,22.8,7.4,4.2,30.0
fea_extractor_rf_bal_acc_all1617 series_11 part1,0.7,0.971,0.836,0.808,0.7,21,9,1,34
fea_extractor_rf_bal_acc_all1617 series_11 part2,0.742,0.882,0.812,0.793,0.742,23,8,4,30
fea_extractor_rf_bal_acc_all1617 series_11 part3,0.6,0.912,0.756,0.706,0.6,18,12,3,31
fea_extractor_rf_bal_acc_all1617 series_11 part4,0.833,0.882,0.858,0.847,0.833,25,5,4,30
fea_extractor_rf_bal_acc_all1617 series_11 part5,0.833,0.853,0.843,0.833,0.833,25,5,5,29
fea_extractor_rf_bal_acc_all1617 series_11 MEAN,0.742,0.9,0.821,0.797,0.742,22.4,7.8,3.4,30.8
fea_extractor_rf_bal_acc_all1617 series_12 part1,0.733,0.857,0.795,0.772,0.733,22,8,5,30
fea_extractor_rf_bal_acc_all1617 series_12 part2,0.806,0.941,0.874,0.862,0.806,25,6,2,32
fea_extractor_rf_bal_acc_all1617 series_12 part3,0.7,0.941,0.821,0.792,0.7,21,9,2,32
fea_extractor_rf_bal_acc_all1617 series_12 part4,0.833,0.941,0.887,0.877,0.833,25,5,2,32
fea_extractor_rf_bal_acc_all1617 series_12 part5,0.733,0.941,0.837,0.815,0.733,22,8,2,32
fea_extractor_rf_bal_acc_all1617 series_12 MEAN,0.761,0.924,0.843,0.824,0.761,23.0,7.2,2.6,31.6
fea_extractor_rf_bal_acc_all1718 series_01 part1,0.696,0.741,0.718,0.696,0.696,16,7,7,20
fea_extractor_rf_bal_acc_all1718 series_01 part2,0.545,0.714,0.63,0.571,0.545,12,10,8,20
fea_extractor_rf_bal_acc_all1718 series_01 part3,0.455,0.75,0.602,0.513,0.455,10,12,7,21
fea_extractor_rf_bal_acc_all1718 series_01 part4,0.318,0.786,0.552,0.4,0.318,7,15,6,22
fea_extractor_rf_bal_acc_all1718 series_01 part5,0.455,0.778,0.616,0.526,0.455,10,12,6,21
fea_extractor_rf_bal_acc_all1718 series_01 MEAN,0.494,0.754,0.624,0.541,0.494,11.0,11.2,6.8,20.8
fea_extractor_rf_bal_acc_all1718 series_02 part1,0.545,0.607,0.576,0.533,0.545,12,10,11,17
fea_extractor_rf_bal_acc_all1718 series_02 part2,0.409,0.821,0.615,0.5,0.409,9,13,5,23
fea_extractor_rf_bal_acc_all1718 series_02 part3,0.5,0.786,0.643,0.564,0.5,11,11,6,22
fea_extractor_rf_bal_acc_all1718 series_02 part4,0.609,0.741,0.675,0.636,0.609,14,9,7,20
fea_extractor_rf_bal_acc_all1718 series_02 part5,0.409,0.815,0.612,0.5,0.409,9,13,5,22
fea_extractor_rf_bal_acc_all1718 series_02 MEAN,0.494,0.754,0.624,0.547,0.494,11.0,11.2,6.8,20.8
fea_extractor_rf_bal_acc_all1718 series_03 part1,0.545,0.714,0.63,0.571,0.545,12,10,8,20
fea_extractor_rf_bal_acc_all1718 series_03 part2,0.455,0.536,0.495,0.444,0.455,10,12,13,15
fea_extractor_rf_bal_acc_all1718 series_03 part3,0.727,0.643,0.685,0.667,0.727,16,6,10,18
fea_extractor_rf_bal_acc_all1718 series_03 part4,0.565,0.704,0.634,0.591,0.565,13,10,8,19
fea_extractor_rf_bal_acc_all1718 series_03 part5,0.409,0.667,0.538,0.45,0.409,9,13,9,18
fea_extractor_rf_bal_acc_all1718 series_03 MEAN,0.54,0.653,0.596,0.545,0.54,12.0,10.2,9.6,18.0
fea_extractor_rf_bal_acc_all1718 series_04 part1,0.682,0.5,0.591,0.588,0.682,15,7,14,14
fea_extractor_rf_bal_acc_all1718 series_04 part2,0.455,0.821,0.638,0.541,0.455,10,12,5,23
fea_extractor_rf_bal_acc_all1718 series_04 part3,0.682,0.679,0.68,0.652,0.682,15,7,9,19
fea_extractor_rf_bal_acc_all1718 series_04 part4,0.391,0.63,0.51,0.429,0.391,9,14,10,17
fea_extractor_rf_bal_acc_all1718 series_04 part5,0.591,0.778,0.684,0.634,0.591,13,9,6,21
fea_extractor_rf_bal_acc_all1718 series_04 MEAN,0.56,0.681,0.621,0.569,0.56,12.4,9.8,8.8,18.8
fea_extractor_rf_bal_acc_all1718 series_05 part1,0.545,0.821,0.683,0.615,0.545,12,10,5,23
fea_extractor_rf_bal_acc_all1718 series_05 part2,0.5,0.929,0.714,0.629,0.5,11,11,2,26
fea_extractor_rf_bal_acc_all1718 series_05 part3,0.409,0.714,0.562,0.462,0.409,9,13,8,20
fea_extractor_rf_bal_acc_all1718 series_05 part4,0.435,0.815,0.625,0.526,0.435,10,13,5,22
fea_extractor_rf_bal_acc_all1718 series_05 part5,0.318,0.667,0.492,0.368,0.318,7,15,9,18
fea_extractor_rf_bal_acc_all1718 series_05 MEAN,0.442,0.789,0.615,0.52,0.442,9.8,12.4,5.8,21.8
fea_extractor_rf_bal_acc_all1718 series_06 part1,0.818,0.857,0.838,0.818,0.818,18,4,4,24
fea_extractor_rf_bal_acc_all1718 series_06 part2,0.636,0.821,0.729,0.683,0.636,14,8,5,23
fea_extractor_rf_bal_acc_all1718 series_06 part3,0.773,0.821,0.797,0.773,0.773,17,5,5,23
fea_extractor_rf_bal_acc_all1718 series_06 part4,0.565,0.852,0.709,0.65,0.565,13,10,4,23
fea_extractor_rf_bal_acc_all1718 series_06 part5,0.5,0.852,0.676,0.595,0.5,11,11,4,23
fea_extractor_rf_bal_acc_all1718 series_06 MEAN,0.658,0.841,0.75,0.704,0.658,14.6,7.6,4.4,23.2
