prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
we_extractor_gd_bal_acc_train1617_1718_test1819 series_00,0.598,0.665,0.632,0.538,0.598,64,43,67,133
we_extractor_gd_bal_acc_train1617_1718_test1819 series_01,0.664,0.67,0.667,0.582,0.664,71,36,66,134
we_extractor_gd_bal_acc_train1617_1718_test1819 series_02,0.57,0.715,0.643,0.542,0.57,61,46,57,143
we_extractor_gd_bal_acc_train1617_1718_test1819 series_03,0.346,0.885,0.615,0.443,0.346,37,70,23,177
we_extractor_gd_bal_acc_train1617_1718_test1819 series_04,0.72,0.685,0.702,0.623,0.72,77,30,63,137
we_extractor_gd_bal_acc_train1617_1718_test1819 series_05,0.72,0.68,0.7,0.621,0.72,77,30,64,136
we_extractor_gd_bal_acc_train1617_1718_test1819 series_06,0.71,0.72,0.715,0.636,0.71,76,31,56,144
we_extractor_gd_bal_acc_train1617_1718_test1819 series_07,0.776,0.72,0.748,0.675,0.776,83,24,56,144
we_extractor_gd_bal_acc_train1617_1718_test1819 series_08,0.785,0.69,0.738,0.664,0.785,84,23,62,138
we_extractor_gd_bal_acc_train1617_1718_test1819 series_09,0.757,0.695,0.726,0.651,0.757,81,26,61,139
we_extractor_gd_bal_acc_train1617_1718_test1819 series_10,0.766,0.75,0.758,0.686,0.766,82,25,50,150
we_extractor_gd_bal_acc_train1617_1718_test1819 series_11,0.804,0.665,0.734,0.662,0.804,86,21,67,133
we_extractor_gd_bal_acc_train1617_1819_test1718 series_00,0.396,0.841,0.618,0.497,0.396,44,67,22,116
we_extractor_gd_bal_acc_train1617_1819_test1718 series_01,0.423,0.775,0.599,0.497,0.423,47,64,31,107
we_extractor_gd_bal_acc_train1617_1819_test1718 series_02,0.486,0.79,0.638,0.557,0.486,54,57,29,109
we_extractor_gd_bal_acc_train1617_1819_test1718 series_03,0.532,0.833,0.682,0.611,0.532,59,52,23,115
we_extractor_gd_bal_acc_train1617_1819_test1718 series_04,0.658,0.71,0.684,0.652,0.658,73,38,40,98
we_extractor_gd_bal_acc_train1617_1819_test1718 series_05,0.703,0.812,0.757,0.726,0.703,78,33,26,112
we_extractor_gd_bal_acc_train1617_1819_test1718 series_06,0.676,0.848,0.762,0.725,0.676,75,36,21,117
we_extractor_gd_bal_acc_train1617_1819_test1718 series_07,0.622,0.877,0.749,0.701,0.622,69,42,17,121
we_extractor_gd_bal_acc_train1617_1819_test1718 series_08,0.667,0.862,0.764,0.725,0.667,74,37,19,119
we_extractor_gd_bal_acc_train1617_1819_test1718 series_09,0.658,0.855,0.756,0.716,0.658,73,38,20,118
we_extractor_gd_bal_acc_train1617_1819_test1718 series_10,0.613,0.848,0.73,0.68,0.613,68,43,21,117
we_extractor_gd_bal_acc_train1617_1819_test1718 series_11,0.658,0.862,0.76,0.719,0.658,73,38,19,119
we_extractor_gd_bal_acc_train1718_1819_test1617 series_00,0.517,0.766,0.641,0.58,0.517,78,73,40,131
we_extractor_gd_bal_acc_train1718_1819_test1617 series_01,0.06,0.965,0.512,0.108,0.06,9,142,6,165
we_extractor_gd_bal_acc_train1718_1819_test1617 series_02,0.47,0.684,0.577,0.514,0.47,71,80,54,117
we_extractor_gd_bal_acc_train1718_1819_test1617 series_03,0.47,0.62,0.545,0.495,0.47,71,80,65,106
we_extractor_gd_bal_acc_train1718_1819_test1617 series_04,0.636,0.842,0.739,0.701,0.636,96,55,27,144
we_extractor_gd_bal_acc_train1718_1819_test1617 series_05,0.623,0.871,0.747,0.704,0.623,94,57,22,149
we_extractor_gd_bal_acc_train1718_1819_test1617 series_06,0.695,0.895,0.795,0.766,0.695,105,46,18,153
we_extractor_gd_bal_acc_train1718_1819_test1617 series_07,0.735,0.877,0.806,0.784,0.735,111,40,21,150
we_extractor_gd_bal_acc_train1718_1819_test1617 series_08,0.722,0.906,0.814,0.79,0.722,109,42,16,155
we_extractor_gd_bal_acc_train1718_1819_test1617 series_09,0.755,0.877,0.816,0.797,0.755,114,37,21,150
we_extractor_gd_bal_acc_train1718_1819_test1617 series_10,0.768,0.918,0.843,0.826,0.768,116,35,14,157
we_extractor_gd_bal_acc_train1718_1819_test1617 series_11,0.781,0.906,0.844,0.828,0.781,118,33,16,155
we_extractor_gd_bal_acc_train1617_test1718 series_00,0.369,0.594,0.482,0.394,0.369,41,70,56,82
we_extractor_gd_bal_acc_train1617_test1718 series_01,0.64,0.652,0.646,0.617,0.64,71,40,48,90
we_extractor_gd_bal_acc_train1617_test1718 series_02,0.64,0.623,0.631,0.607,0.64,71,40,52,86
we_extractor_gd_bal_acc_train1617_test1718 series_03,0.649,0.696,0.672,0.64,0.649,72,39,42,96
we_extractor_gd_bal_acc_train1617_test1718 series_04,0.685,0.674,0.679,0.655,0.685,76,35,45,93
we_extractor_gd_bal_acc_train1617_test1718 series_05,0.82,0.696,0.758,0.746,0.82,91,20,42,96
we_extractor_gd_bal_acc_train1617_test1718 series_06,0.829,0.754,0.791,0.776,0.829,92,19,34,104
we_extractor_gd_bal_acc_train1617_test1718 series_07,0.757,0.812,0.784,0.76,0.757,84,27,26,112
we_extractor_gd_bal_acc_train1617_test1718 series_08,0.766,0.783,0.774,0.752,0.766,85,26,30,108
we_extractor_gd_bal_acc_train1617_test1718 series_09,0.793,0.775,0.784,0.765,0.793,88,23,31,107
we_extractor_gd_bal_acc_train1617_test1718 series_10,0.775,0.739,0.757,0.738,0.775,86,25,36,102
we_extractor_gd_bal_acc_train1617_test1718 series_11,0.856,0.819,0.837,0.823,0.856,95,16,25,113
we_extractor_gd_bal_acc_train1617_test1819 series_00,0.598,0.66,0.629,0.536,0.598,64,43,68,132
we_extractor_gd_bal_acc_train1617_test1819 series_01,0.71,0.58,0.645,0.569,0.71,76,31,84,116
we_extractor_gd_bal_acc_train1617_test1819 series_02,0.579,0.635,0.607,0.512,0.579,62,45,73,127
we_extractor_gd_bal_acc_train1617_test1819 series_03,0.636,0.7,0.668,0.579,0.636,68,39,60,140
we_extractor_gd_bal_acc_train1617_test1819 series_04,0.748,0.64,0.694,0.618,0.748,80,27,72,128
we_extractor_gd_bal_acc_train1617_test1819 series_05,0.692,0.705,0.698,0.617,0.692,74,33,59,141
we_extractor_gd_bal_acc_train1617_test1819 series_06,0.776,0.67,0.723,0.648,0.776,83,24,66,134
we_extractor_gd_bal_acc_train1617_test1819 series_07,0.794,0.705,0.75,0.677,0.794,85,22,59,141
we_extractor_gd_bal_acc_train1617_test1819 series_08,0.804,0.7,0.752,0.68,0.804,86,21,60,140
we_extractor_gd_bal_acc_train1617_test1819 series_09,0.804,0.735,0.769,0.699,0.804,86,21,53,147
we_extractor_gd_bal_acc_train1617_test1819 series_10,0.785,0.725,0.755,0.683,0.785,84,23,55,145
we_extractor_gd_bal_acc_train1617_test1819 series_11,0.785,0.71,0.748,0.675,0.785,84,23,58,142
we_extractor_gd_bal_acc_train1718_test1617 series_00,0.457,0.86,0.658,0.566,0.457,69,82,24,147
we_extractor_gd_bal_acc_train1718_test1617 series_01,0.596,0.766,0.681,0.641,0.596,90,61,40,131
we_extractor_gd_bal_acc_train1718_test1617 series_02,0.603,0.76,0.681,0.643,0.603,91,60,41,130
we_extractor_gd_bal_acc_train1718_test1617 series_03,0.649,0.766,0.708,0.678,0.649,98,53,40,131
we_extractor_gd_bal_acc_train1718_test1617 series_04,0.609,0.737,0.673,0.639,0.609,92,59,45,126
we_extractor_gd_bal_acc_train1718_test1617 series_05,0.755,0.813,0.784,0.768,0.755,114,37,32,139
we_extractor_gd_bal_acc_train1718_test1617 series_06,0.742,0.836,0.789,0.77,0.742,112,39,28,143
we_extractor_gd_bal_acc_train1718_test1617 series_07,0.755,0.807,0.781,0.765,0.755,114,37,33,138
we_extractor_gd_bal_acc_train1718_test1617 series_08,0.762,0.807,0.784,0.769,0.762,115,36,33,138
we_extractor_gd_bal_acc_train1718_test1617 series_09,0.755,0.795,0.775,0.76,0.755,114,37,35,136
we_extractor_gd_bal_acc_train1718_test1617 series_10,0.722,0.836,0.779,0.757,0.722,109,42,28,143
we_extractor_gd_bal_acc_train1718_test1617 series_11,0.795,0.813,0.804,0.792,0.795,120,31,32,139
we_extractor_gd_bal_acc_train1718_test1819 series_00,0.579,0.655,0.617,0.521,0.579,62,45,69,131
we_extractor_gd_bal_acc_train1718_test1819 series_01,0.617,0.72,0.668,0.576,0.617,66,41,56,144
we_extractor_gd_bal_acc_train1718_test1819 series_02,0.514,0.71,0.612,0.5,0.514,55,52,58,142
we_extractor_gd_bal_acc_train1718_test1819 series_03,0.589,0.675,0.632,0.536,0.589,63,44,65,135
we_extractor_gd_bal_acc_train1718_test1819 series_04,0.617,0.69,0.653,0.562,0.617,66,41,62,138
we_extractor_gd_bal_acc_train1718_test1819 series_05,0.72,0.595,0.657,0.581,0.72,77,30,81,119
we_extractor_gd_bal_acc_train1718_test1819 series_06,0.664,0.715,0.689,0.604,0.664,71,36,57,143
we_extractor_gd_bal_acc_train1718_test1819 series_07,0.682,0.65,0.666,0.584,0.682,73,34,70,130
we_extractor_gd_bal_acc_train1718_test1819 series_08,0.71,0.685,0.698,0.618,0.71,76,31,63,137
we_extractor_gd_bal_acc_train1718_test1819 series_09,0.673,0.695,0.684,0.6,0.673,72,35,61,139
