prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
we_extractor_rf_bal_acc_train1617_1718_test1819 series_00,0.421,0.77,0.595,0.455,0.421,45,62,46,154
we_extractor_rf_bal_acc_train1617_1718_test1819 series_01,0.57,0.745,0.658,0.557,0.57,61,46,51,149
we_extractor_rf_bal_acc_train1617_1718_test1819 series_02,0.654,0.715,0.685,0.598,0.654,70,37,57,143
we_extractor_rf_bal_acc_train1617_1718_test1819 series_03,0.598,0.77,0.684,0.59,0.598,64,43,46,154
we_extractor_rf_bal_acc_train1617_1718_test1819 series_04,0.664,0.77,0.717,0.634,0.664,71,36,46,154
we_extractor_rf_bal_acc_train1617_1718_test1819 series_05,0.701,0.72,0.71,0.63,0.701,75,32,56,144
we_extractor_rf_bal_acc_train1617_1718_test1819 series_06,0.748,0.725,0.736,0.661,0.748,80,27,55,145
we_extractor_rf_bal_acc_train1617_1718_test1819 series_07,0.794,0.71,0.752,0.68,0.794,85,22,58,142
we_extractor_rf_bal_acc_train1617_1718_test1819 series_08,0.72,0.74,0.73,0.653,0.72,77,30,52,148
we_extractor_rf_bal_acc_train1617_1718_test1819 series_09,0.729,0.77,0.749,0.675,0.729,78,29,46,154
we_extractor_rf_bal_acc_train1617_1718_test1819 series_10,0.757,0.77,0.764,0.692,0.757,81,26,46,154
we_extractor_rf_bal_acc_train1617_1718_test1819 series_11,0.794,0.71,0.752,0.68,0.794,85,22,58,142
we_extractor_rf_bal_acc_train1617_1819_test1718 series_00,0.333,0.92,0.627,0.465,0.333,37,74,11,127
we_extractor_rf_bal_acc_train1617_1819_test1718 series_01,0.459,0.862,0.661,0.564,0.459,51,60,19,119
we_extractor_rf_bal_acc_train1617_1819_test1718 series_02,0.505,0.848,0.676,0.596,0.505,56,55,21,117
we_extractor_rf_bal_acc_train1617_1819_test1718 series_03,0.568,0.775,0.671,0.615,0.568,63,48,31,107
we_extractor_rf_bal_acc_train1617_1819_test1718 series_04,0.523,0.891,0.707,0.63,0.523,58,53,15,123
we_extractor_rf_bal_acc_train1617_1819_test1718 series_05,0.577,0.855,0.716,0.656,0.577,64,47,20,118
we_extractor_rf_bal_acc_train1617_1819_test1718 series_06,0.559,0.913,0.736,0.67,0.559,62,49,12,126
we_extractor_rf_bal_acc_train1617_1819_test1718 series_07,0.486,0.935,0.711,0.621,0.486,54,57,9,129
we_extractor_rf_bal_acc_train1617_1819_test1718 series_08,0.505,0.942,0.723,0.64,0.505,56,55,8,130
we_extractor_rf_bal_acc_train1617_1819_test1718 series_09,0.613,0.906,0.759,0.708,0.613,68,43,13,125
we_extractor_rf_bal_acc_train1617_1819_test1718 series_10,0.568,0.978,0.773,0.712,0.568,63,48,3,135
we_extractor_rf_bal_acc_train1617_1819_test1718 series_11,0.622,0.978,0.8,0.754,0.622,69,42,3,135
we_extractor_rf_bal_acc_train1718_1819_test1617 series_00,0.325,0.924,0.624,0.46,0.325,49,102,13,158
we_extractor_rf_bal_acc_train1718_1819_test1617 series_01,0.364,0.953,0.659,0.514,0.364,55,96,8,163
we_extractor_rf_bal_acc_train1718_1819_test1617 series_02,0.371,0.918,0.644,0.507,0.371,56,95,14,157
we_extractor_rf_bal_acc_train1718_1819_test1617 series_03,0.464,0.924,0.694,0.598,0.464,70,81,13,158
we_extractor_rf_bal_acc_train1718_1819_test1617 series_04,0.51,0.947,0.729,0.65,0.51,77,74,9,162
we_extractor_rf_bal_acc_train1718_1819_test1617 series_05,0.603,0.918,0.76,0.711,0.603,91,60,14,157
we_extractor_rf_bal_acc_train1718_1819_test1617 series_06,0.636,0.936,0.786,0.744,0.636,96,55,11,160
we_extractor_rf_bal_acc_train1718_1819_test1617 series_07,0.642,0.965,0.804,0.764,0.642,97,54,6,165
we_extractor_rf_bal_acc_train1718_1819_test1617 series_08,0.629,0.959,0.794,0.751,0.629,95,56,7,164
we_extractor_rf_bal_acc_train1718_1819_test1617 series_09,0.623,0.912,0.767,0.723,0.623,94,57,15,156
we_extractor_rf_bal_acc_train1718_1819_test1617 series_10,0.629,0.965,0.797,0.754,0.629,95,56,6,165
we_extractor_rf_bal_acc_train1718_1819_test1617 series_11,0.649,0.947,0.798,0.76,0.649,98,53,9,162
we_extractor_rf_bal_acc_train1617_test1718 series_00,0.523,0.797,0.66,0.589,0.523,58,53,28,110
we_extractor_rf_bal_acc_train1617_test1718 series_01,0.631,0.725,0.678,0.639,0.631,70,41,38,100
we_extractor_rf_bal_acc_train1617_test1718 series_02,0.667,0.775,0.721,0.685,0.667,74,37,31,107
