prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
we_extractor_svm_bal_acc_train1617_1718_test1819 series_00,0.579,0.67,0.625,0.528,0.579,62,45,66,134
we_extractor_svm_bal_acc_train1617_1718_test1819 series_01,0.71,0.625,0.668,0.589,0.71,76,31,75,125
we_extractor_svm_bal_acc_train1617_1718_test1819 series_02,0.682,0.685,0.684,0.601,0.682,73,34,63,137
we_extractor_svm_bal_acc_train1617_1718_test1819 series_03,0.654,0.685,0.67,0.583,0.654,70,37,63,137
we_extractor_svm_bal_acc_train1617_1718_test1819 series_04,0.664,0.67,0.667,0.582,0.664,71,36,66,134
we_extractor_svm_bal_acc_train1617_1718_test1819 series_05,0.738,0.715,0.727,0.65,0.738,79,28,57,143
we_extractor_svm_bal_acc_train1617_1718_test1819 series_06,0.729,0.715,0.722,0.645,0.729,78,29,57,143
we_extractor_svm_bal_acc_train1617_1718_test1819 series_07,0.794,0.705,0.75,0.677,0.794,85,22,59,141
we_extractor_svm_bal_acc_train1617_1718_test1819 series_08,0.766,0.7,0.733,0.659,0.766,82,25,60,140
we_extractor_svm_bal_acc_train1617_1718_test1819 series_09,0.776,0.725,0.75,0.678,0.776,83,24,55,145
we_extractor_svm_bal_acc_train1617_1718_test1819 series_10,0.748,0.74,0.744,0.669,0.748,80,27,52,148
we_extractor_svm_bal_acc_train1617_1718_test1819 series_11,0.776,0.65,0.713,0.638,0.776,83,24,70,130
we_extractor_svm_bal_acc_train1617_1819_test1718 series_00,0.396,0.841,0.618,0.497,0.396,44,67,22,116
we_extractor_svm_bal_acc_train1617_1819_test1718 series_01,0.378,0.79,0.584,0.462,0.378,42,69,29,109
we_extractor_svm_bal_acc_train1617_1819_test1718 series_02,0.486,0.804,0.645,0.562,0.486,54,57,27,111
we_extractor_svm_bal_acc_train1617_1819_test1718 series_03,0.523,0.812,0.667,0.595,0.523,58,53,26,112
we_extractor_svm_bal_acc_train1617_1819_test1718 series_04,0.631,0.754,0.692,0.651,0.631,70,41,34,104
we_extractor_svm_bal_acc_train1617_1819_test1718 series_05,0.721,0.804,0.763,0.734,0.721,80,31,27,111
we_extractor_svm_bal_acc_train1617_1819_test1718 series_06,0.721,0.754,0.737,0.711,0.721,80,31,34,104
we_extractor_svm_bal_acc_train1617_1819_test1718 series_07,0.622,0.877,0.749,0.701,0.622,69,42,17,121
we_extractor_svm_bal_acc_train1617_1819_test1718 series_08,0.694,0.833,0.764,0.73,0.694,77,34,23,115
we_extractor_svm_bal_acc_train1617_1819_test1718 series_09,0.694,0.833,0.764,0.73,0.694,77,34,23,115
we_extractor_svm_bal_acc_train1617_1819_test1718 series_10,0.604,0.79,0.697,0.647,0.604,67,44,29,109
we_extractor_svm_bal_acc_train1617_1819_test1718 series_11,0.631,0.804,0.717,0.673,0.631,70,41,27,111
we_extractor_svm_bal_acc_train1718_1819_test1617 series_00,0.563,0.76,0.662,0.614,0.563,85,66,41,130
we_extractor_svm_bal_acc_train1718_1819_test1617 series_01,0.43,0.848,0.639,0.537,0.43,65,86,26,145
we_extractor_svm_bal_acc_train1718_1819_test1617 series_02,0.517,0.772,0.644,0.582,0.517,78,73,39,132
we_extractor_svm_bal_acc_train1718_1819_test1617 series_03,0.623,0.825,0.724,0.684,0.623,94,57,30,141
we_extractor_svm_bal_acc_train1718_1819_test1617 series_04,0.682,0.813,0.747,0.72,0.682,103,48,32,139
we_extractor_svm_bal_acc_train1718_1819_test1617 series_05,0.675,0.778,0.727,0.701,0.675,102,49,38,133
we_extractor_svm_bal_acc_train1718_1819_test1617 series_06,0.728,0.871,0.8,0.777,0.728,110,41,22,149
we_extractor_svm_bal_acc_train1718_1819_test1617 series_07,0.748,0.854,0.801,0.782,0.748,113,38,25,146
we_extractor_svm_bal_acc_train1718_1819_test1617 series_08,0.762,0.883,0.822,0.804,0.762,115,36,20,151
we_extractor_svm_bal_acc_train1718_1819_test1617 series_09,0.762,0.865,0.814,0.796,0.762,115,36,23,148
we_extractor_svm_bal_acc_train1718_1819_test1617 series_10,0.768,0.895,0.831,0.814,0.768,116,35,18,153
we_extractor_svm_bal_acc_train1718_1819_test1617 series_11,0.762,0.901,0.831,0.813,0.762,115,36,17,154
we_extractor_svm_bal_acc_train1617_test1718 series_00,0.577,0.703,0.64,0.593,0.577,64,47,41,97
we_extractor_svm_bal_acc_train1617_test1718 series_01,0.622,0.638,0.63,0.6,0.622,69,42,50,88
we_extractor_svm_bal_acc_train1617_test1718 series_02,0.649,0.587,0.618,0.6,0.649,72,39,57,81
we_extractor_svm_bal_acc_train1617_test1718 series_03,0.721,0.623,0.672,0.658,0.721,80,31,52,86
we_extractor_svm_bal_acc_train1617_test1718 series_04,0.676,0.674,0.675,0.649,0.676,75,36,45,93
we_extractor_svm_bal_acc_train1617_test1718 series_05,0.766,0.739,0.752,0.733,0.766,85,26,36,102
we_extractor_svm_bal_acc_train1617_test1718 series_06,0.784,0.746,0.765,0.747,0.784,87,24,35,103
we_extractor_svm_bal_acc_train1617_test1718 series_07,0.721,0.783,0.752,0.724,0.721,80,31,30,108
we_extractor_svm_bal_acc_train1617_test1718 series_08,0.793,0.732,0.762,0.746,0.793,88,23,37,101
we_extractor_svm_bal_acc_train1617_test1718 series_09,0.775,0.739,0.757,0.738,0.775,86,25,36,102
we_extractor_svm_bal_acc_train1617_test1718 series_10,0.784,0.746,0.765,0.747,0.784,87,24,35,103
we_extractor_svm_bal_acc_train1617_test1718 series_11,0.82,0.804,0.812,0.795,0.82,91,20,27,111
we_extractor_svm_bal_acc_train1617_test1819 series_00,0.579,0.645,0.612,0.517,0.579,62,45,71,129
we_extractor_svm_bal_acc_train1617_test1819 series_01,0.72,0.585,0.652,0.577,0.72,77,30,83,117
we_extractor_svm_bal_acc_train1617_test1819 series_02,0.71,0.65,0.68,0.601,0.71,76,31,70,130
we_extractor_svm_bal_acc_train1617_test1819 series_03,0.664,0.635,0.649,0.566,0.664,71,36,73,127
we_extractor_svm_bal_acc_train1617_test1819 series_04,0.71,0.65,0.68,0.601,0.71,76,31,70,130
we_extractor_svm_bal_acc_train1617_test1819 series_05,0.738,0.68,0.709,0.632,0.738,79,28,64,136
we_extractor_svm_bal_acc_train1617_test1819 series_06,0.748,0.67,0.709,0.632,0.748,80,27,66,134
we_extractor_svm_bal_acc_train1617_test1819 series_07,0.785,0.685,0.735,0.661,0.785,84,23,63,137
we_extractor_svm_bal_acc_train1617_test1819 series_08,0.785,0.68,0.733,0.659,0.785,84,23,64,136
we_extractor_svm_bal_acc_train1617_test1819 series_09,0.748,0.65,0.699,0.623,0.748,80,27,70,130
we_extractor_svm_bal_acc_train1617_test1819 series_10,0.748,0.725,0.736,0.661,0.748,80,27,55,145
we_extractor_svm_bal_acc_train1617_test1819 series_11,0.748,0.68,0.714,0.637,0.748,80,27,64,136
we_extractor_svm_bal_acc_train1718_test1617 series_00,0.642,0.702,0.672,0.649,0.642,97,54,51,120
we_extractor_svm_bal_acc_train1718_test1617 series_01,0.596,0.772,0.684,0.643,0.596,90,61,39,132
we_extractor_svm_bal_acc_train1718_test1617 series_02,0.636,0.702,0.669,0.644,0.636,96,55,51,120
we_extractor_svm_bal_acc_train1718_test1617 series_03,0.649,0.766,0.708,0.678,0.649,98,53,40,131
we_extractor_svm_bal_acc_train1718_test1617 series_04,0.722,0.708,0.715,0.703,0.722,109,42,50,121
we_extractor_svm_bal_acc_train1718_test1617 series_05,0.742,0.778,0.76,0.744,0.742,112,39,38,133
we_extractor_svm_bal_acc_train1718_test1617 series_06,0.748,0.801,0.775,0.758,0.748,113,38,34,137
we_extractor_svm_bal_acc_train1718_test1617 series_07,0.722,0.754,0.738,0.722,0.722,109,42,42,129
we_extractor_svm_bal_acc_train1718_test1617 series_08,0.709,0.789,0.749,0.728,0.709,107,44,36,135
we_extractor_svm_bal_acc_train1718_test1617 series_09,0.702,0.784,0.743,0.721,0.702,106,45,37,134
we_extractor_svm_bal_acc_train1718_test1617 series_10,0.742,0.842,0.792,0.772,0.742,112,39,27,144
we_extractor_svm_bal_acc_train1718_test1617 series_11,0.755,0.889,0.822,0.803,0.755,114,37,19,152
we_extractor_svm_bal_acc_train1718_test1819 series_00,0.607,0.64,0.624,0.533,0.607,65,42,72,128
we_extractor_svm_bal_acc_train1718_test1819 series_01,0.664,0.665,0.664,0.58,0.664,71,36,67,133
we_extractor_svm_bal_acc_train1718_test1819 series_02,0.626,0.65,0.638,0.549,0.626,67,40,70,130
we_extractor_svm_bal_acc_train1718_test1819 series_03,0.645,0.64,0.642,0.556,0.645,69,38,72,128
we_extractor_svm_bal_acc_train1718_test1819 series_04,0.551,0.71,0.631,0.527,0.551,59,48,58,142
we_extractor_svm_bal_acc_train1718_test1819 series_05,0.636,0.675,0.655,0.567,0.636,68,39,65,135
we_extractor_svm_bal_acc_train1718_test1819 series_06,0.664,0.665,0.664,0.58,0.664,71,36,67,133
we_extractor_svm_bal_acc_train1718_test1819 series_07,0.654,0.65,0.652,0.567,0.654,70,37,70,130
we_extractor_svm_bal_acc_train1718_test1819 series_08,0.701,0.705,0.703,0.622,0.701,75,32,59,141
we_extractor_svm_bal_acc_train1718_test1819 series_09,0.682,0.69,0.686,0.603,0.682,73,34,62,138
we_extractor_svm_bal_acc_train1718_test1819 series_10,0.664,0.715,0.689,0.604,0.664,71,36,57,143
we_extractor_svm_bal_acc_train1718_test1819 series_11,0.682,0.705,0.694,0.611,0.682,73,34,59,141
we_extractor_svm_bal_acc_train1819_test1617 series_00,0.424,0.789,0.607,0.51,0.424,64,87,36,135
we_extractor_svm_bal_acc_train1819_test1617 series_01,0.351,0.836,0.594,0.457,0.351,53,98,28,143
we_extractor_svm_bal_acc_train1819_test1617 series_02,0.47,0.813,0.642,0.559,0.47,71,80,32,139
we_extractor_svm_bal_acc_train1819_test1617 series_03,0.543,0.83,0.687,0.626,0.543,82,69,29,142
we_extractor_svm_bal_acc_train1819_test1617 series_04,0.583,0.825,0.704,0.654,0.583,88,63,30,141
