prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
fea_extractor_gd_bal_acc_all1617 series_01 part1,0.567,0.686,0.626,0.586,0.567,17,13,11,24
fea_extractor_gd_bal_acc_all1617 series_01 part2,0.29,0.735,0.513,0.367,0.29,9,22,9,25
fea_extractor_gd_bal_acc_all1617 series_01 part3,0.733,0.735,0.734,0.721,0.733,22,8,9,25
fea_extractor_gd_bal_acc_all1617 series_01 part4,0.633,0.559,0.596,0.594,0.633,19,11,15,19
fea_extractor_gd_bal_acc_all1617 series_01 part5,0.733,0.794,0.764,0.746,0.733,22,8,7,27
fea_extractor_gd_bal_acc_all1617 series_01 MEAN,0.591,0.702,0.647,0.603,0.591,17.8,12.4,10.2,24.0
fea_extractor_gd_bal_acc_all1617 series_02 part1,0.667,0.714,0.69,0.667,0.667,20,10,10,25
fea_extractor_gd_bal_acc_all1617 series_02 part2,0.839,0.559,0.699,0.722,0.839,26,5,15,19
fea_extractor_gd_bal_acc_all1617 series_02 part3,0.633,0.765,0.699,0.667,0.633,19,11,8,26
fea_extractor_gd_bal_acc_all1617 series_02 part4,0.6,0.706,0.653,0.621,0.6,18,12,10,24
fea_extractor_gd_bal_acc_all1617 series_02 part5,0.667,0.706,0.686,0.667,0.667,20,10,10,24
fea_extractor_gd_bal_acc_all1617 series_02 MEAN,0.681,0.69,0.685,0.669,0.681,20.6,9.6,10.6,23.6
fea_extractor_gd_bal_acc_all1617 series_03 part1,0.733,0.714,0.724,0.71,0.733,22,8,10,25
fea_extractor_gd_bal_acc_all1617 series_03 part2,0.581,0.735,0.658,0.621,0.581,18,13,9,25
fea_extractor_gd_bal_acc_all1617 series_03 part3,0.767,0.559,0.663,0.676,0.767,23,7,15,19
fea_extractor_gd_bal_acc_all1617 series_03 part4,0.567,0.735,0.651,0.607,0.567,17,13,9,25
fea_extractor_gd_bal_acc_all1617 series_03 part5,0.633,0.647,0.64,0.623,0.633,19,11,12,22
fea_extractor_gd_bal_acc_all1617 series_03 MEAN,0.656,0.678,0.667,0.647,0.656,19.8,10.4,11.0,23.2
fea_extractor_gd_bal_acc_all1617 series_04 part1,0.633,0.686,0.66,0.633,0.633,19,11,11,24
fea_extractor_gd_bal_acc_all1617 series_04 part2,0.677,0.824,0.75,0.724,0.677,21,10,6,28
fea_extractor_gd_bal_acc_all1617 series_04 part3,0.567,0.794,0.68,0.63,0.567,17,13,7,27
fea_extractor_gd_bal_acc_all1617 series_04 part4,0.733,0.676,0.705,0.698,0.733,22,8,11,23
fea_extractor_gd_bal_acc_all1617 series_04 part5,0.733,0.794,0.764,0.746,0.733,22,8,7,27
fea_extractor_gd_bal_acc_all1617 series_04 MEAN,0.669,0.755,0.712,0.686,0.669,20.2,10.0,8.4,25.8
fea_extractor_gd_bal_acc_all1617 series_05 part1,0.767,0.771,0.769,0.754,0.767,23,7,8,27
fea_extractor_gd_bal_acc_all1617 series_05 part2,0.742,0.824,0.783,0.767,0.742,23,8,6,28
fea_extractor_gd_bal_acc_all1617 series_05 part3,0.667,0.882,0.775,0.741,0.667,20,10,4,30
fea_extractor_gd_bal_acc_all1617 series_05 part4,0.667,0.706,0.686,0.667,0.667,20,10,10,24
fea_extractor_gd_bal_acc_all1617 series_05 part5,0.667,0.765,0.716,0.69,0.667,20,10,8,26
fea_extractor_gd_bal_acc_all1617 series_05 MEAN,0.702,0.79,0.746,0.724,0.702,21.2,9.0,7.2,27.0
fea_extractor_gd_bal_acc_all1617 series_06 part1,0.767,0.886,0.826,0.807,0.767,23,7,4,31
