prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
fea_extractor_svm_bal_acc_all1718 series_01 part1,0.739,0.481,0.61,0.63,0.739,17,6,14,13
fea_extractor_svm_bal_acc_all1718 series_01 part2,0.591,0.571,0.581,0.553,0.591,13,9,12,16
fea_extractor_svm_bal_acc_all1718 series_01 part3,0.318,0.679,0.498,0.368,0.318,7,15,9,19
fea_extractor_svm_bal_acc_all1718 series_01 part4,0.455,0.679,0.567,0.488,0.455,10,12,9,19
fea_extractor_svm_bal_acc_all1718 series_01 part5,0.5,0.593,0.546,0.5,0.5,11,11,11,16
fea_extractor_svm_bal_acc_all1718 series_01 MEAN,0.521,0.601,0.561,0.508,0.521,11.6,10.6,11.0,16.6
fea_extractor_svm_bal_acc_all1718 series_02 part1,0.591,0.536,0.563,0.542,0.591,13,9,13,15
fea_extractor_svm_bal_acc_all1718 series_02 part2,0.227,0.714,0.471,0.286,0.227,5,17,8,20
fea_extractor_svm_bal_acc_all1718 series_02 part3,0.318,0.75,0.534,0.389,0.318,7,15,7,21
fea_extractor_svm_bal_acc_all1718 series_02 part4,0.522,0.667,0.594,0.545,0.522,12,11,9,18
fea_extractor_svm_bal_acc_all1718 series_02 part5,0.5,0.593,0.546,0.5,0.5,11,11,11,16
fea_extractor_svm_bal_acc_all1718 series_02 MEAN,0.432,0.652,0.542,0.452,0.432,9.6,12.6,9.6,18.0
fea_extractor_svm_bal_acc_all1718 series_03 part1,0.636,0.714,0.675,0.636,0.636,14,8,8,20
fea_extractor_svm_bal_acc_all1718 series_03 part2,0.5,0.571,0.536,0.489,0.5,11,11,12,16
fea_extractor_svm_bal_acc_all1718 series_03 part3,0.545,0.714,0.63,0.571,0.545,12,10,8,20
fea_extractor_svm_bal_acc_all1718 series_03 part4,0.522,0.481,0.502,0.49,0.522,12,11,14,13
fea_extractor_svm_bal_acc_all1718 series_03 part5,0.409,0.556,0.482,0.419,0.409,9,13,12,15
fea_extractor_svm_bal_acc_all1718 series_03 MEAN,0.523,0.607,0.565,0.521,0.523,11.6,10.6,10.8,16.8
fea_extractor_svm_bal_acc_all1718 series_04 part1,0.636,0.643,0.64,0.609,0.636,14,8,10,18
fea_extractor_svm_bal_acc_all1718 series_04 part2,0.636,0.607,0.622,0.596,0.636,14,8,11,17
