prediction,acc_failed,acc_passed,bal_acc,f1,recall,tn,fp,fn,tp
we_extractor_svm_bal_acc_all1718 series_01 part1,0.696,0.63,0.663,0.653,0.696,16,7,10,17
we_extractor_svm_bal_acc_all1718 series_01 part2,0.591,0.75,0.67,0.619,0.591,13,9,7,21
we_extractor_svm_bal_acc_all1718 series_01 part3,0.409,0.464,0.437,0.391,0.409,9,13,15,13
we_extractor_svm_bal_acc_all1718 series_01 part4,0.545,0.786,0.666,0.6,0.545,12,10,6,22
we_extractor_svm_bal_acc_all1718 series_01 part5,0.545,0.778,0.662,0.6,0.545,12,10,6,21
we_extractor_svm_bal_acc_all1718 series_01 MEAN,0.557,0.681,0.619,0.573,0.557,12.4,9.8,8.8,18.8
we_extractor_svm_bal_acc_all1718 series_02 part1,0.409,0.607,0.508,0.429,0.409,9,13,11,17
we_extractor_svm_bal_acc_all1718 series_02 part2,0.545,0.786,0.666,0.6,0.545,12,10,6,22
we_extractor_svm_bal_acc_all1718 series_02 part3,0.591,0.679,0.635,0.591,0.591,13,9,9,19
we_extractor_svm_bal_acc_all1718 series_02 part4,0.565,0.667,0.616,0.578,0.565,13,10,9,18
we_extractor_svm_bal_acc_all1718 series_02 part5,0.636,0.593,0.614,0.596,0.636,14,8,11,16
we_extractor_svm_bal_acc_all1718 series_02 MEAN,0.549,0.666,0.608,0.559,0.549,12.2,10.0,9.2,18.4
we_extractor_svm_bal_acc_all1718 series_03 part1,0.5,0.75,0.625,0.55,0.5,11,11,7,21
we_extractor_svm_bal_acc_all1718 series_03 part2,0.636,0.679,0.657,0.622,0.636,14,8,9,19
we_extractor_svm_bal_acc_all1718 series_03 part3,0.773,0.643,0.708,0.694,0.773,17,5,10,18
we_extractor_svm_bal_acc_all1718 series_03 part4,0.609,0.704,0.656,0.622,0.609,14,9,8,19
we_extractor_svm_bal_acc_all1718 series_03 part5,0.409,0.667,0.538,0.45,0.409,9,13,9,18
we_extractor_svm_bal_acc_all1718 series_03 MEAN,0.585,0.688,0.637,0.588,0.585,13.0,9.2,8.6,19.0
we_extractor_svm_bal_acc_all1718 series_04 part1,0.636,0.571,0.604,0.583,0.636,14,8,12,16
we_extractor_svm_bal_acc_all1718 series_04 part2,0.636,0.607,0.622,0.596,0.636,14,8,11,17
we_extractor_svm_bal_acc_all1718 series_04 part3,0.682,0.643,0.662,0.638,0.682,15,7,10,18
we_extractor_svm_bal_acc_all1718 series_04 part4,0.565,0.667,0.616,0.578,0.565,13,10,9,18
we_extractor_svm_bal_acc_all1718 series_04 part5,0.455,0.741,0.598,0.513,0.455,10,12,7,20
we_extractor_svm_bal_acc_all1718 series_04 MEAN,0.595,0.646,0.62,0.582,0.595,13.2,9.0,9.8,17.8
we_extractor_svm_bal_acc_all1718 series_05 part1,0.545,0.714,0.63,0.571,0.545,12,10,8,20
we_extractor_svm_bal_acc_all1718 series_05 part2,0.5,0.643,0.571,0.512,0.5,11,11,10,18
we_extractor_svm_bal_acc_all1718 series_05 part3,0.545,0.75,0.648,0.585,0.545,12,10,7,21
we_extractor_svm_bal_acc_all1718 series_05 part4,0.522,0.704,0.613,0.558,0.522,12,11,8,19
we_extractor_svm_bal_acc_all1718 series_05 part5,0.682,0.63,0.656,0.638,0.682,15,7,10,17
we_extractor_svm_bal_acc_all1718 series_05 MEAN,0.559,0.688,0.623,0.573,0.559,12.4,9.8,8.6,19.0
we_extractor_svm_bal_acc_all1718 series_06 part1,0.818,0.821,0.82,0.8,0.818,18,4,5,23
we_extractor_svm_bal_acc_all1718 series_06 part2,0.682,0.714,0.698,0.667,0.682,15,7,8,20
we_extractor_svm_bal_acc_all1718 series_06 part3,0.864,0.786,0.825,0.809,0.864,19,3,6,22
we_extractor_svm_bal_acc_all1718 series_06 part4,0.739,0.704,0.721,0.708,0.739,17,6,8,19
we_extractor_svm_bal_acc_all1718 series_06 part5,0.818,0.704,0.761,0.75,0.818,18,4,8,19
we_extractor_svm_bal_acc_all1718 series_06 MEAN,0.784,0.746,0.765,0.747,0.784,17.4,4.8,7.0,20.6
we_extractor_svm_bal_acc_all1718 series_07 part1,0.87,0.704,0.787,0.784,0.87,20,3,8,19
we_extractor_svm_bal_acc_all1718 series_07 part2,0.773,0.857,0.815,0.791,0.773,17,5,4,24
we_extractor_svm_bal_acc_all1718 series_07 part3,0.682,0.857,0.769,0.732,0.682,15,7,4,24
we_extractor_svm_bal_acc_all1718 series_07 part4,0.818,0.786,0.802,0.783,0.818,18,4,6,22
we_extractor_svm_bal_acc_all1718 series_07 part5,0.636,0.778,0.707,0.667,0.636,14,8,6,21
we_extractor_svm_bal_acc_all1718 series_07 MEAN,0.756,0.796,0.776,0.751,0.756,16.8,5.4,5.6,22.0
we_extractor_svm_bal_acc_all1718 series_08 part1,0.5,0.857,0.679,0.595,0.5,11,11,4,24
we_extractor_svm_bal_acc_all1718 series_08 part2,0.636,0.75,0.693,0.651,0.636,14,8,7,21
we_extractor_svm_bal_acc_all1718 series_08 part3,0.818,0.75,0.784,0.766,0.818,18,4,7,21
we_extractor_svm_bal_acc_all1718 series_08 part4,0.696,0.778,0.737,0.711,0.696,16,7,6,21
we_extractor_svm_bal_acc_all1718 series_08 part5,0.818,0.778,0.798,0.783,0.818,18,4,6,21
we_extractor_svm_bal_acc_all1718 series_08 MEAN,0.694,0.783,0.738,0.701,0.694,15.4,6.8,6.0,21.6
we_extractor_svm_bal_acc_all1718 series_09 part1,0.909,0.786,0.847,0.833,0.909,20,2,6,22
we_extractor_svm_bal_acc_all1718 series_09 part2,0.591,0.714,0.653,0.605,0.591,13,9,8,20
we_extractor_svm_bal_acc_all1718 series_09 part3,0.5,0.679,0.589,0.524,0.5,11,11,9,19
we_extractor_svm_bal_acc_all1718 series_09 part4,0.87,0.815,0.842,0.833,0.87,20,3,5,22
we_extractor_svm_bal_acc_all1718 series_09 part5,0.727,0.815,0.771,0.744,0.727,16,6,5,22
we_extractor_svm_bal_acc_all1718 series_09 MEAN,0.719,0.762,0.741,0.708,0.719,16.0,6.2,6.6,21.0
we_extractor_svm_bal_acc_all1718 series_10 part1,0.636,0.679,0.657,0.622,0.636,14,8,9,19
we_extractor_svm_bal_acc_all1718 series_10 part2,0.773,0.75,0.761,0.739,0.773,17,5,7,21
we_extractor_svm_bal_acc_all1718 series_10 part3,0.636,0.821,0.729,0.683,0.636,14,8,5,23
we_extractor_svm_bal_acc_all1718 series_10 part4,0.565,0.815,0.69,0.634,0.565,13,10,5,22
we_extractor_svm_bal_acc_all1718 series_10 part5,0.773,0.704,0.738,0.723,0.773,17,5,8,19
we_extractor_svm_bal_acc_all1718 series_10 MEAN,0.677,0.754,0.715,0.68,0.677,15.0,7.2,6.8,20.8
we_extractor_svm_bal_acc_all1718 series_11 part1,0.727,0.679,0.703,0.681,0.727,16,6,9,19
we_extractor_svm_bal_acc_all1718 series_11 part2,0.727,0.75,0.739,0.711,0.727,16,6,7,21
we_extractor_svm_bal_acc_all1718 series_11 part3,0.682,0.893,0.787,0.75,0.682,15,7,3,25
we_extractor_svm_bal_acc_all1718 series_11 part4,0.826,0.778,0.802,0.792,0.826,19,4,6,21
we_extractor_svm_bal_acc_all1718 series_11 part5,0.545,0.815,0.68,0.615,0.545,12,10,5,22
we_extractor_svm_bal_acc_all1718 series_11 MEAN,0.702,0.783,0.742,0.71,0.702,15.6,6.6,6.0,21.6
we_extractor_svm_bal_acc_all1718 series_12 part1,0.652,0.778,0.715,0.682,0.652,15,8,6,21
we_extractor_svm_bal_acc_all1718 series_12 part2,0.682,0.893,0.787,0.75,0.682,15,7,3,25
we_extractor_svm_bal_acc_all1718 series_12 part3,0.773,0.857,0.815,0.791,0.773,17,5,4,24
we_extractor_svm_bal_acc_all1718 series_12 part4,0.636,0.786,0.711,0.667,0.636,14,8,6,22
we_extractor_svm_bal_acc_all1718 series_12 part5,0.909,0.778,0.843,0.833,0.909,20,2,6,21
we_extractor_svm_bal_acc_all1718 series_12 MEAN,0.73,0.818,0.774,0.745,0.73,16.2,6.0,5.0,22.6
